drugbank_id	zinc_id
DB00149	ZINC000003645145
DB00150	ZINC000000083315
DB00150	ZINC000000083317
DB00151	ZINC000000895042
DB00151	ZINC000000895347
DB00152	ZINC000000049153
DB00153	ZINC000004474571
DB00153	ZINC000004492862
DB00153	ZINC000004492863
DB00153	ZINC000004492865
DB00153	ZINC000004492866
DB00153	ZINC000004629876
DB00153	ZINC000005294779
DB00153	ZINC000005294783
DB00153	ZINC000005481905
DB00153	ZINC000007997527
DB00153	ZINC000007998023
DB00153	ZINC000011592609
DB00153	ZINC000013783346
DB00153	ZINC000013783347
DB00153	ZINC000013783348
DB00153	ZINC000013783349
DB00153	ZINC000013813106
DB00153	ZINC000013813109
DB00153	ZINC000013813112
DB00153	ZINC000013813115
DB00153	ZINC000015956243
DB00153	ZINC000015956244
DB00153	ZINC000015956245
DB00153	ZINC000031356867
DB00153	ZINC000033829829
DB00153	ZINC000033829830
DB00153	ZINC000033829831
DB00153	ZINC000033829832
DB00153	ZINC000034293856
DB00153	ZINC000036288956
DB00153	ZINC000036288957
DB00153	ZINC000043505257
DB00153	ZINC000043505259
DB00153	ZINC000043505260
DB00153	ZINC000044830251
DB00153	ZINC000071618083
DB00153	ZINC000085541695
DB00153	ZINC000100618083
DB00153	ZINC000100618085
DB00153	ZINC000101235627
DB00153	ZINC000113203519
DB00153	ZINC000169298982
DB00153	ZINC000169298983
DB00153	ZINC000169311947
DB00153	ZINC000169311949
DB00153	ZINC000169311950
DB00153	ZINC000169368069
DB00153	ZINC000169368071
DB00153	ZINC000169368072
DB00153	ZINC000169368073
DB00153	ZINC000238781879
DB00153	ZINC000248260200
DB00153	ZINC000248260203
DB00153	ZINC000253390206
DB00153	ZINC000306121834
DB00153	ZINC000306121835
DB00153	ZINC000306121836
DB00153	ZINC000584566823
DB00153	ZINC000584569301
DB00153	ZINC000584577237
DB00153	ZINC000669679131
DB00154	ZINC000004521470
DB00154	ZINC000005510396
DB00154	ZINC000012496042
DB00154	ZINC000013507101
DB00154	ZINC000033820311
DB00154	ZINC000142802161
DB00155	ZINC000001532614
DB00155	ZINC000002166829
DB00156	ZINC000000895103
DB00156	ZINC000000895399
DB00156	ZINC000001747072
DB00156	ZINC000001747073
DB00158	ZINC000008577218
DB00158	ZINC000008585850
DB00159	ZINC000004474603
DB00159	ZINC000005447613
DB00159	ZINC000013507111
DB00159	ZINC000013507113
DB00159	ZINC000035334496
DB00159	ZINC000255004004
DB00159	ZINC000255004005
DB00159	ZINC000409444248
DB00160	ZINC000004658553
DB00160	ZINC000004658556
DB00161	ZINC000000895099
DB00161	ZINC000000896156
DB00162	ZINC000003831417
DB00162	ZINC000007998100
DB00162	ZINC000008637880
DB00162	ZINC000012484934
DB00162	ZINC000012496764
DB00162	ZINC000012496767
DB00162	ZINC000012496774
DB00162	ZINC000033838912
DB00162	ZINC000033955641
DB00162	ZINC000038657182
DB00162	ZINC000096014729
DB00162	ZINC000100649123
DB00162	ZINC000142068934
DB00163	ZINC000001529439
DB00163	ZINC000002083220
DB00163	ZINC000003871492
DB00163	ZINC000003871493
DB00163	ZINC000003871494
DB00163	ZINC000004095858
DB00163	ZINC000009213625
DB00165	ZINC000000049154
DB00166	ZINC000001532729
DB00166	ZINC000001544807
DB00167	ZINC000000388312
DB00167	ZINC000000388313
DB00167	ZINC000000388314
DB00167	ZINC000003581355
DB00169	ZINC000003947571
DB00169	ZINC000003978666
DB00169	ZINC000003978669
DB00169	ZINC000004474460
DB00169	ZINC000004492874
DB00169	ZINC000004492875
DB00169	ZINC000004492876
DB00169	ZINC000004492878
DB00169	ZINC000004521924
DB00169	ZINC000004521925
DB00169	ZINC000005380435
DB00169	ZINC000005380449
DB00169	ZINC000005380451
DB00169	ZINC000007997573
DB00169	ZINC000007998093
DB00169	ZINC000009231972
DB00169	ZINC000009302303
DB00169	ZINC000011592611
DB00169	ZINC000012494489
DB00169	ZINC000013298417
DB00169	ZINC000013298419
DB00169	ZINC000013813120
DB00169	ZINC000013813123
DB00169	ZINC000014768400
DB00169	ZINC000090450379
DB00169	ZINC000100297550
DB00169	ZINC000100603929
DB00169	ZINC000100618321
DB00169	ZINC000102194908
DB00169	ZINC000103559626
DB00169	ZINC000169364866
DB00169	ZINC000169364867
DB00170	ZINC000000001677
DB00171	ZINC000003871612
DB00171	ZINC000003871613
DB00171	ZINC000003871614
DB00171	ZINC000003871615
DB00171	ZINC000004261765
DB00171	ZINC000004806446
DB00171	ZINC000011524397
DB00171	ZINC000011524400
DB00171	ZINC000011726744
DB00171	ZINC000016969375
DB00171	ZINC000033902336
DB00171	ZINC000033974212
DB00172	ZINC000000895071
DB00172	ZINC000000895360
DB00173	ZINC000000000882
DB00174	ZINC000001529313
DB00174	ZINC000001532556
DB00175	ZINC000003798763
DB00175	ZINC000003831355
DB00175	ZINC000003831356
DB00175	ZINC000003831357
DB00175	ZINC000003831358
DB00175	ZINC000005651381
DB00175	ZINC000011592798
DB00175	ZINC000011592799
DB00175	ZINC000011592800
DB00175	ZINC000011592801
DB00175	ZINC000012496501
DB00175	ZINC000019045976
DB00175	ZINC000026185904
DB00175	ZINC000026672491
DB00175	ZINC000027646890
DB00175	ZINC000027646898
DB00175	ZINC000036436646
DB00175	ZINC000043772728
DB00175	ZINC000043772730
DB00175	ZINC000098186946
DB00175	ZINC000169294213
DB00175	ZINC000169294214
DB00175	ZINC000169294215
DB00175	ZINC000169294216
DB00175	ZINC000253915831
DB00176	ZINC000003872605
DB00176	ZINC000012466082
DB00176	ZINC000252678020
DB00177	ZINC000003831602
DB00177	ZINC000003875259
DB00178	ZINC000003798757
DB00178	ZINC000003831407
DB00178	ZINC000003831410
DB00178	ZINC000005650658
DB00178	ZINC000007997924
DB00178	ZINC000009212658
DB00178	ZINC000015973889
DB00178	ZINC000033359806
DB00178	ZINC000038342089
DB00178	ZINC000059191484
DB00178	ZINC000059870001
DB00178	ZINC000098193590
