drugbank_id	molport_id
DB00158	MolPort-001-684-168
DB00158	MolPort-003-665-625
DB00158	MolPort-003-847-482
DB00158	MolPort-004-285-551
DB00158	MolPort-005-932-387
DB00158	MolPort-008-266-632
DB00158	MolPort-023-220-147
DB00158	MolPort-044-561-726
DB00159	MolPort-003-933-180
DB00159	MolPort-044-727-657
DB00160	MolPort-000-871-636
DB00160	MolPort-001-573-589
DB00160	MolPort-001-792-137
DB00160	MolPort-003-925-460
DB00160	MolPort-042-682-390
DB00161	MolPort-000-145-908
DB00161	MolPort-001-769-343
DB00161	MolPort-003-934-843
DB00161	MolPort-039-060-192
DB00162	MolPort-001-785-962
DB00162	MolPort-003-850-158
DB00163	MolPort-000-735-907
DB00163	MolPort-002-507-059
DB00163	MolPort-003-665-940
DB00163	MolPort-044-560-353
DB00163	MolPort-046-773-770
DB00163	MolPort-046-773-772
DB00163	MolPort-046-773-774
DB00165	MolPort-002-319-991
DB00166	MolPort-002-461-878
DB00166	MolPort-002-520-478
DB00166	MolPort-003-848-397
DB00166	MolPort-023-220-633
DB00166	MolPort-028-599-843
DB00166	MolPort-046-697-093
DB00167	MolPort-001-780-215
DB00167	MolPort-001-792-381
DB00167	MolPort-003-925-479
DB00167	MolPort-003-925-480
DB00167	MolPort-006-736-499
DB00169	MolPort-001-740-051
DB00169	MolPort-001-785-972
DB00169	MolPort-006-396-371
DB00169	MolPort-039-139-841
DB00169	MolPort-046-773-762
DB00169	MolPort-046-773-763
DB00170	MolPort-001-766-699
DB00171	MolPort-002-533-479
DB00172	MolPort-000-517-627
DB00172	MolPort-001-757-108
DB00172	MolPort-001-793-119
DB00173	MolPort-001-785-186
DB00173	MolPort-001-785-762
DB00173	MolPort-004-759-679
DB00174	MolPort-000-145-990
DB00174	MolPort-001-792-385
DB00174	MolPort-003-925-924
DB00175	MolPort-002-885-849
DB00175	MolPort-003-849-962
DB00175	MolPort-006-167-482
DB00175	MolPort-006-395-743
DB00175	MolPort-020-001-442
DB00175	MolPort-023-219-582
DB00175	MolPort-046-598-120
DB00176	MolPort-002-885-827
DB00176	MolPort-003-666-870
DB00176	MolPort-005-943-374
DB00176	MolPort-027-899-211
DB00176	MolPort-044-175-494
DB00176	MolPort-046-682-876
DB00177	MolPort-002-507-854
DB00177	MolPort-003-666-608
DB00177	MolPort-005-943-963
DB00177	MolPort-006-823-917
DB00177	MolPort-009-194-217
DB00177	MolPort-019-991-657
DB00177	MolPort-020-180-036
DB00177	MolPort-046-426-301
DB00177	MolPort-046-426-721
DB00178	MolPort-001-736-571
DB00178	MolPort-006-395-842
DB00178	MolPort-016-634-305
DB00178	MolPort-042-622-372
DB00178	MolPort-042-644-438
DB00179	MolPort-001-793-905
DB00180	MolPort-005-943-434
DB00180	MolPort-042-665-689
DB00181	MolPort-000-729-836
DB00181	MolPort-002-051-370
DB00181	MolPort-002-507-841
DB00181	MolPort-003-844-682
DB00181	MolPort-003-941-416
DB00183	MolPort-006-116-980
DB00184	MolPort-000-744-731
DB00184	MolPort-003-849-363
DB00184	MolPort-003-849-367
DB00185	MolPort-006-167-486
DB00185	MolPort-006-823-088
DB00185	MolPort-023-276-899
DB00185	MolPort-044-193-646
DB00185	MolPort-044-561-459
DB00185	MolPort-046-417-308
DB00185	MolPort-046-417-309
DB00185	MolPort-046-417-310
DB00185	MolPort-046-785-904
DB00187	MolPort-005-933-593
DB00188	MolPort-003-845-298
DB00188	MolPort-006-393-007
DB00190	MolPort-003-666-414
DB00190	MolPort-003-940-629
DB00190	MolPort-005-934-181
DB00190	MolPort-009-194-193
DB00190	MolPort-046-033-689
DB00194	MolPort-001-785-903
DB00194	MolPort-001-838-229
DB00194	MolPort-002-328-808
DB00194	MolPort-003-666-308
DB00194	MolPort-004-285-443
DB00194	MolPort-046-702-817
DB00195	MolPort-003-666-823
DB00195	MolPort-003-845-027
DB00195	MolPort-005-977-072
DB00195	MolPort-019-999-775
DB00195	MolPort-027-720-680
DB00196	MolPort-000-883-859
DB00196	MolPort-003-847-388
DB00197	MolPort-003-666-725
DB00198	MolPort-003-849-715
DB00198	MolPort-005-933-026
DB00198	MolPort-005-938-626
DB00198	MolPort-039-326-753
DB00199	MolPort-000-772-161
DB00199	MolPort-002-507-378
DB00199	MolPort-002-525-254
DB00199	MolPort-023-220-496
DB00199	MolPort-046-426-730
DB00200	MolPort-003-926-090
DB00200	MolPort-003-926-695
DB00200	MolPort-003-930-167
DB00201	MolPort-046-702-532
DB00201	MolPort-046-702-677
DB00202	MolPort-001-779-555
DB00202	MolPort-006-110-114
DB00202	MolPort-020-000-602
DB00203	MolPort-001-995-394
DB00203	MolPort-002-885-861
DB00203	MolPort-003-850-246
DB00203	MolPort-006-069-375
DB00203	MolPort-006-823-012
DB00203	MolPort-044-560-350
DB00203	MolPort-046-854-547
DB00204	MolPort-003-847-012
DB00204	MolPort-003-847-013
DB00205	MolPort-001-783-655
DB00206	MolPort-000-769-010
DB00206	MolPort-000-881-944
DB00206	MolPort-001-785-615
DB00207	MolPort-000-760-961
DB00207	MolPort-002-507-426
DB00207	MolPort-002-964-485
DB00207	MolPort-006-069-361
DB00207	MolPort-044-561-744
DB00208	MolPort-000-785-528
DB00208	MolPort-002-507-849
DB00208	MolPort-003-666-728
DB00209	MolPort-003-850-800
DB00209	MolPort-005-935-494
DB00209	MolPort-035-691-404
DB00209	MolPort-044-561-846
DB00209	MolPort-046-594-139
DB00209	MolPort-046-764-863
DB00210	MolPort-003-986-211
DB00210	MolPort-046-418-527
DB00210	MolPort-046-683-714
DB00211	MolPort-003-666-473
DB00211	MolPort-003-849-221
DB00211	MolPort-005-943-855
DB00213	MolPort-003-666-752
DB00213	MolPort-005-933-577
DB00213	MolPort-008-266-523
DB00213	MolPort-046-418-335
DB00214	MolPort-002-885-870
DB00214	MolPort-006-396-173
DB00215	MolPort-003-666-613
DB00215	MolPort-003-666-794
DB00215	MolPort-003-845-965
DB00215	MolPort-003-940-770
DB00215	MolPort-003-986-352
DB00215	MolPort-005-973-306
DB00215	MolPort-006-167-729
DB00215	MolPort-020-064-282
DB00215	MolPort-039-052-233
DB00216	MolPort-005-940-717
DB00216	MolPort-019-993-155
DB00216	MolPort-023-330-858
DB00216	MolPort-046-426-744
DB00218	MolPort-003-849-281
DB00218	MolPort-005-934-227
DB00218	MolPort-006-167-494
DB00218	MolPort-019-992-241
DB00218	MolPort-035-682-360
DB00218	MolPort-046-196-117
DB00219	MolPort-000-735-345
DB00220	MolPort-000-883-833
DB00220	MolPort-003-849-347
DB00220	MolPort-005-938-420
DB00220	MolPort-019-992-553
DB00221	MolPort-003-941-811
DB00222	MolPort-003-847-587
DB00222	MolPort-003-987-461
DB00223	MolPort-003-847-393
DB00223	MolPort-005-943-440
DB00223	MolPort-035-683-304
DB00223	MolPort-044-560-727
DB00224	MolPort-000-883-804
DB00224	MolPort-005-938-421
DB00224	MolPort-006-394-642
DB00225	MolPort-046-417-370
DB00225	MolPort-046-418-554
DB00226	MolPort-027-894-194
