drugbank id	mesh id
DB00372	C:MESH:D013847
DB00374	C:MESH:C054809
DB00375	C:MESH:D003084
DB00376	C:MESH:D014282
DB00378	C:MESH:D004394
DB00379	C:MESH:D008801
DB00380	C:MESH:D064730
DB00381	C:MESH:D017311
DB00382	C:MESH:D013619
DB00383	C:MESH:C100201
DB00384	C:MESH:D014223
DB00385	C:MESH:C016163
DB00387	C:MESH:D011352
DB00388	C:MESH:D010656
DB00389	C:MESH:D002231
DB00390	C:MESH:D004077
DB00391	C:MESH:D013469
DB00392	C:MESH:C084820
DB00393	C:MESH:D009553
DB00395	C:MESH:D002328
DB00396	C:MESH:D011374
DB00400	C:MESH:D006118
DB00401	C:MESH:D015737
DB00403	C:MESH:D002108
DB00404	C:MESH:D000525
DB00405	C:MESH:C015121
DB00407	C:MESH:D006493
DB00408	C:MESH:D008152
DB00409	C:MESH:D017330
DB00410	C:MESH:D016712
DB00414	C:MESH:D000092
DB00415	C:MESH:D000667
DB00417	C:MESH:D010404
DB00418	C:MESH:D012631
DB00419	C:MESH:C059896
DB00420	C:MESH:D011395
DB00421	C:MESH:D013148
DB00422	C:MESH:D008774
DB00423	C:MESH:D008721
DB00424	C:MESH:D064692
DB00427	C:MESH:D014311
DB00429	C:MESH:C062843
DB00430	C:MESH:C036666
DB00431	C:MESH:D001556
DB00432	C:MESH:D014271
DB00433	C:MESH:D011346
DB00434	C:MESH:D003533
DB00436	C:MESH:D001539
DB00437	C:MESH:D000493
DB00439	C:MESH:C086276
DB00440	C:MESH:D014295
DB00441	C:MESH:C056507
DB00443	C:MESH:D001623
DB00444	C:MESH:D013713
DB00445	C:MESH:D015251
DB00446	C:MESH:D002701
DB00448	C:MESH:D064747
DB00449	C:MESH:C015173
DB00450	C:MESH:D004329
DB00451	C:MESH:D013974
DB00452	C:MESH:D005601
DB00453	C:MESH:C007090
DB00454	C:MESH:D008614
DB00455	C:MESH:D017336
DB00456	C:MESH:D002512
DB00457	C:MESH:D011224
DB00458	C:MESH:D007099
DB00459	C:MESH:D017255
DB00463	C:MESH:C084822
DB00464	C:MESH:D012981
DB00465	C:MESH:D020910
DB00466	C:MESH:D010852
DB00467	C:MESH:D015365
DB00468	C:MESH:D011803
DB00469	C:MESH:C032801
DB00470	C:MESH:D013759
DB00471	C:MESH:C093875
DB00472	C:MESH:D005473
DB00473	C:MESH:C004954
DB00474	C:MESH:D008723
DB00475	C:MESH:D002707
DB00477	C:MESH:D002746
DB00478	C:MESH:D012299
DB00479	C:MESH:D000583
DB00483	C:MESH:D005703
DB00485	C:MESH:D004009
DB00486	C:MESH:C011941
DB00487	C:MESH:D015366
DB00488	C:MESH:D006585
DB00489	C:MESH:D013015
DB00490	C:MESH:D002065
DB00491	C:MESH:C045621
DB00492	C:MESH:D017328
DB00493	C:MESH:D002439
DB00494	C:MESH:C071192
DB00495	C:MESH:D015215
DB00496	C:MESH:C101207
DB00497	C:MESH:D010098
DB00498	C:MESH:D010630
DB00499	C:MESH:D005485
DB00500	C:MESH:D014046
DB00501	C:MESH:D002927
DB00502	C:MESH:D006220
DB00503	C:MESH:D019438
DB00504	C:MESH:D007977
DB00507	C:MESH:C041747
DB00508	C:MESH:D014273
DB00509	C:MESH:D003918
DB00512	C:MESH:D014640
DB00513	C:MESH:D015119
DB00514	C:MESH:D003915
DB00515	C:MESH:D002945
DB00517	C:MESH:C100237
DB00518	C:MESH:D015766
DB00519	C:MESH:C052035
DB00521	C:MESH:D002354
DB00522	C:MESH:C006717
DB00524	C:MESH:D008788
DB00525	C:MESH:D014047
DB00527	C:MESH:D003992
DB00528	C:MESH:C060343
DB00529	C:MESH:D017245
DB00532	C:MESH:D008617
