drugbank_id	hmdb_id
DB00316	HMDB0001859
DB00317	HMDB0014462
DB00319	HMDB0014464
DB00320	HMDB0014465
DB00321	HMDB0014466
DB00322	HMDB0014467
DB00323	HMDB0014468
DB00324	HMDB0014469
DB00325	HMDB0014470
DB00327	HMDB0014472
DB00328	HMDB0014473
DB00330	HMDB0014474
DB00331	HMDB0001921
DB00332	HMDB0014476
DB00333	HMDB0014477
DB00334	HMDB0005012
DB00335	HMDB0001924
DB00336	HMDB0014480
DB00337	HMDB0014481
DB00339	HMDB0014483
DB00340	HMDB0014484
DB00341	HMDB0005032
DB00341	HMDB0240226
DB00342	HMDB0014486
DB00343	HMDB0014487
DB00344	HMDB0014488
DB00345	HMDB0001867
DB00346	HMDB0014490
DB00347	HMDB0014491
DB00348	HMDB0014492
DB00349	HMDB0014493
DB00350	HMDB0014494
DB00352	HMDB0014496
DB00353	HMDB0014497
DB00354	HMDB0014498
DB00355	HMDB0014499
DB00356	HMDB0014500
DB00357	HMDB0014501
DB00358	HMDB0014502
DB00359	HMDB0014503
DB00360	HMDB0000027
DB00360	HMDB0000787
DB00360	HMDB0059658
DB00361	HMDB0014505
DB00362	HMDB0014506
DB00363	HMDB0014507
DB00364	HMDB0001039
DB00364	HMDB0002111
DB00365	HMDB0014509
DB00366	HMDB0001936
DB00367	HMDB0014511
DB00368	HMDB0000216
DB00368	HMDB0037685
DB00369	HMDB0014513
DB00370	HMDB0014514
DB00371	HMDB0014515
DB00372	HMDB0014516
DB00373	HMDB0014517
DB00374	HMDB0014518
DB00376	HMDB0014520
DB00377	HMDB0014521
DB00378	HMDB0014522
DB00379	HMDB0014523
DB00380	HMDB0014524
DB00381	HMDB0005018
DB00382	HMDB0014526
DB00383	HMDB0014527
DB00384	HMDB0001940
DB00385	HMDB0014529
DB00387	HMDB0014531
DB00388	HMDB0002182
DB00389	HMDB0014533
DB00390	HMDB0001917
DB00391	HMDB0014535
DB00392	HMDB0014536
DB00393	HMDB0014537
DB00394	HMDB0014538
DB00395	HMDB0014539
DB00396	HMDB0001830
DB00397	HMDB0001942
DB00398	HMDB0014542
DB00399	HMDB0014543
DB00400	HMDB0014544
DB00401	HMDB0014545
DB00402	HMDB0014546
DB00402	HMDB0015329
DB00403	HMDB0014547
DB00404	HMDB0014548
DB00405	HMDB0001941
DB00405	HMDB0014549
DB00406	HMDB0014550
DB00408	HMDB0014552
DB00409	HMDB0014553
DB00410	HMDB0014554
DB00411	HMDB0014555
DB00412	HMDB0005031
DB00413	HMDB0014557
DB00414	HMDB0014558
DB00415	HMDB0014559
DB00416	HMDB0012238
DB00416	HMDB0015429
DB00416	HMDB0059634
DB00417	HMDB0014561
DB00418	HMDB0014562
DB00419	HMDB0014563
DB00420	HMDB0014564
DB00421	HMDB0014565
DB00422	HMDB0014566
DB00422	HMDB0015647
DB00423	HMDB0014567
DB00425	HMDB0005023
DB00426	HMDB0014570
DB00427	HMDB0014571
DB00428	HMDB0014572
DB00429	HMDB0014573
DB00429	HMDB0240288
DB00430	HMDB0014574
DB00431	HMDB0014575
DB00431	HMDB0059785
DB00432	HMDB0014576
DB00433	HMDB0014577
DB00434	HMDB0014578
DB00435	HMDB0003378
DB00436	HMDB0014580
DB00437	HMDB0014581
DB00438	HMDB0014582
DB00440	HMDB0014583
DB00441	HMDB0014584
DB00442	HMDB0014585
DB00443	HMDB0014586
DB00443	HMDB0015364
DB00444	HMDB0014587
DB00445	HMDB0014588
DB00445	HMDB0015132
DB00446	HMDB0014589
DB00447	HMDB0014590
DB00448	HMDB0005008
DB00449	HMDB0014592
DB00450	HMDB0014593
DB00451	HMDB0000248
DB00451	HMDB0014651
DB00452	HMDB0015129
DB00453	HMDB0014596
DB00454	HMDB0014597
DB00455	HMDB0005000
DB00456	HMDB0014599
DB00457	HMDB0014600
DB00458	HMDB0001848
DB00459	HMDB0003039
DB00459	HMDB0014602
DB00460	HMDB0014603
DB00461	HMDB0014604
DB00462	HMDB0002500
DB00462	HMDB0014605
DB00463	HMDB0014606
DB00464	HMDB0000588
DB00465	HMDB0014608
DB00466	HMDB0240274
DB00466	HMDB0240279
DB00467	HMDB0014610
DB00468	HMDB0014611
DB00468	HMDB0015044
DB00470	HMDB0014613
DB00471	HMDB0014614
DB00472	HMDB0014615
DB00473	HMDB0014616
DB00474	HMDB0014617
DB00475	HMDB0014618
DB00477	HMDB0014620
DB00478	HMDB0014621
DB00479	HMDB0014622
DB00480	HMDB0014623
DB00481	HMDB0014624
DB00482	HMDB0005014
DB00483	HMDB0012238
DB00483	HMDB0014626
DB00483	HMDB0059634
DB00484	HMDB0014627
DB00485	HMDB0014628
DB00486	HMDB0014629
DB00487	HMDB0014630
DB00488	HMDB0014631
DB00489	HMDB0014632
DB00490	HMDB0014633
DB00491	HMDB0014634
DB00492	HMDB0014635
DB00493	HMDB0014636
DB00494	HMDB0012226
DB00495	HMDB0014638
DB00496	HMDB0014639
DB00498	HMDB0014641
DB00499	HMDB0014642
DB00500	HMDB0014643
DB00501	HMDB0014644
DB00502	HMDB0014645
DB00503	HMDB0014646
DB00504	HMDB0014647
DB00505	HMDB0014648
DB00507	HMDB0014649
DB00508	HMDB0014650
DB00509	HMDB0000248
DB00509	HMDB0014651
DB00511	HMDB0014652
DB00512	HMDB0014653
DB00513	HMDB0001901
DB00514	HMDB0001920
DB00515	HMDB0000051
DB00515	HMDB0000492
DB00515	HMDB0002306
DB00515	HMDB0041827
DB00517	HMDB0002500
DB00518	HMDB0014659
DB00519	HMDB0014660
DB00520	HMDB0014661
DB00521	HMDB0014662
DB00522	HMDB0014663
DB00523	HMDB0001852
DB00523	HMDB0002369
DB00523	HMDB0006219
DB00523	HMDB0012874
DB00524	HMDB0014665
DB00525	HMDB0005005
DB00526	HMDB0002329
DB00527	HMDB0014668
DB00528	HMDB0014669
DB00529	HMDB0014670
DB00530	HMDB0014671
DB00531	HMDB0014672
DB00532	HMDB0014673
DB00534	HMDB0000492
DB00534	HMDB0002306
DB00534	HMDB0014674
DB00535	HMDB0014675
DB00536	HMDB0001842
DB00537	HMDB0014677
DB00539	HMDB0014679
DB00540	HMDB0014680
DB00541	HMDB0014681
DB00542	HMDB0014682
DB00543	HMDB0014683
DB00544	HMDB0014684
DB00545	HMDB0014685
DB00546	HMDB0014686
DB00547	HMDB0014687
DB00548	HMDB0000784
DB00549	HMDB0014689
DB00550	HMDB0014690
DB00551	HMDB0014691
DB00552	HMDB0014692
DB00553	HMDB0014693
DB00554	HMDB0014694
DB00555	HMDB0014695
DB00556	HMDB0014696
DB00557	HMDB0014697
DB00558	HMDB0014698
DB00559	HMDB0014699
DB00560	HMDB0014700
DB00561	HMDB0014701
DB00562	HMDB0014702
DB00563	HMDB0014703
DB00564	HMDB0014704
DB00565	HMDB0014870
DB00565	HMDB0240286
DB00566	HMDB0014706
DB00567	HMDB0014707
DB00568	HMDB0014708
DB00569	HMDB0014709
DB00570	HMDB0014710
DB00571	HMDB0001849
DB00572	HMDB0014568
DB00572	HMDB0014712
DB00573	HMDB0014713
DB00574	HMDB0015322
DB00575	HMDB0014714
DB00576	HMDB0014715
DB00577	HMDB0014716
DB00578	HMDB0014717
DB00579	HMDB0014718
DB00580	HMDB0005033
DB00581	HMDB0000740
DB00582	HMDB0014720
DB00583	HMDB0000062
DB00583	HMDB0062496
DB00583	HMDB0062634
DB00584	HMDB0014722
DB00585	HMDB0014723
DB00586	HMDB0014724
DB00587	HMDB0014725
DB00588	HMDB0005036
DB00589	HMDB0014727
DB00590	HMDB0014728
DB00591	HMDB0014729
DB00592	HMDB0014730
DB00593	HMDB0014731
DB00594	HMDB0014732
DB00597	HMDB0014735
DB00598	HMDB0014736
DB00599	HMDB0014737
DB00600	HMDB0014738
DB00601	HMDB0014739
DB00604	HMDB0014742
DB00605	HMDB0014743
DB00606	HMDB0014744
DB00607	HMDB0014745
DB00608	HMDB0014746
DB00609	HMDB0014747
DB00610	HMDB0014748
DB00611	HMDB0014749
DB00612	HMDB0014750
DB00613	HMDB0014751
DB00614	HMDB0014752
DB00615	HMDB0014753
DB00616	HMDB0014754
DB00617	HMDB0014755
DB00618	HMDB0014756
DB00618	HMDB0144089
DB00619	HMDB0014757
DB00620	HMDB0014758
DB00621	HMDB0014759
DB00622	HMDB0014760
DB00623	HMDB0014761
DB00624	HMDB0000234
DB00624	HMDB0000628
DB00625	HMDB0014763
DB00626	HMDB0014764
DB00627	HMDB0001488
DB00628	HMDB0014766
DB00629	HMDB0014767
DB00630	HMDB0001915
DB00631	HMDB0014769
DB00632	HMDB0014770
DB00633	HMDB0014771
DB00634	HMDB0014772
DB00635	HMDB0014773
DB00636	HMDB0014774
DB00637	HMDB0014775
DB00639	HMDB0014777
DB00640	HMDB0000050
DB00640	HMDB0014340
DB00641	HMDB0005007
DB00642	HMDB0014780
DB00643	HMDB0014781
DB00644	HMDB0014782
DB00645	HMDB0014783
DB00647	HMDB0014785
DB00648	HMDB0014786
DB00649	HMDB0014787
DB00650	HMDB0001562
DB00650	HMDB0002140
DB00650	HMDB0062757
DB00651	HMDB0014789
DB00652	HMDB0014790
DB00653	HMDB0000547
DB00653	HMDB0001448
DB00654	HMDB0014792
DB00655	HMDB0000145
DB00656	HMDB0014794
DB00657	HMDB0014795
DB00658	HMDB0034232
DB00658	HMDB0168957
DB00659	HMDB0014797
DB00660	HMDB0014798
DB00661	HMDB0001850
DB00662	HMDB0014800
DB00663	HMDB0014368
DB00664	HMDB0014802
DB00665	HMDB0014803
DB00666	HMDB0014804
DB00668	HMDB0000068
DB00668	HMDB0062515
DB00670	HMDB0014808
DB00671	HMDB0014809
DB00672	HMDB0014810
DB00673	HMDB0014811
DB00674	HMDB0014812
DB00675	HMDB0014813
DB00676	HMDB0014814
DB00677	HMDB0014815
