drugbank_id	emolecules_id
DB00006	26985377
DB00006	30513183
DB00007	30152588
DB00007	32279029
DB00007	36753637
DB00007	36753638
DB00007	539933
DB00014	30512904
DB00014	32279210
DB00035	26985577
DB00035	27518864
DB00035	30152507
DB00035	30512865
DB00035	31225500
DB00035	31634744
DB00035	36500763
DB00050	31430490
DB00050	32279200
DB00080	11312095
DB00080	30154746
DB00080	31229906
DB00080	32175131
DB00080	32176443
DB00080	36500583
DB00091	10223599
DB00091	29534828
DB00091	30152013
DB00091	30152476
DB00091	30498944
DB00091	30513081
DB00091	31240365
DB00091	35833724
DB00091	36516947
DB00091	36788813
DB00091	496010
DB00091	742499
DB00093	30512779
DB00104	27523048
DB00104	29540888
DB00104	30512806
DB00104	6843567
DB00104	789819
DB00114	1988700
DB00114	31593258
DB00114	531244
DB00115	26749873
DB00115	27677804
DB00115	6844015
DB00116	10809366
DB00116	1989182
DB00116	36759454
DB00116	36759455
DB00116	485232
DB00117	26757162
DB00117	27520527
DB00117	518145
DB00117	518149
DB00117	518165
DB00117	712832
DB00117	883971
DB00118	10452114
DB00118	14089877
DB00118	26749866
DB00118	26754953
DB00118	27677501
DB00118	36091966
DB00118	36756833
DB00118	36756835
DB00118	474985
DB00119	26756642
DB00119	478132
DB00120	26753608
DB00120	26757996
DB00120	29491160
DB00120	29491161
DB00120	29536614
DB00120	29537098
DB00120	29537106
DB00120	29537253
DB00120	482306
DB00120	514492
DB00120	530657
DB00121	1970569
DB00121	27677677
DB00121	30554341
DB00121	36366279
DB00121	36752023
DB00121	36788777
DB00121	481810
DB00121	884410
DB00121	984048
DB00122	1012302
DB00123	524854
DB00123	524855
DB00123	524856
DB00125	10311512
DB00125	478552
DB00125	478564
DB00125	478568
DB00126	26405050
DB00126	29534153
DB00126	29541630
DB00126	29935489
DB00126	492402
DB00126	523451
DB00126	731007
DB00127	10433855
DB00127	1938668
DB00127	494699
DB00127	531533
DB00127	6187094
DB00128	26754220
DB00128	26754975
DB00128	26756539
DB00128	29535733
DB00128	29535780
DB00128	29535821
DB00128	29535924
DB00128	29537196
DB00128	29537254
DB00128	478712
DB00128	478733
DB00128	478747
DB00129	31239565
DB00129	592955
DB00129	884260
DB00130	26752493
DB00130	26753763
DB00130	26756688
DB00130	26757062
DB00130	26757167
DB00130	27678119
DB00130	29535750
DB00130	29541096
DB00130	514487
DB00130	514808
DB00131	29541446
DB00131	29542487
DB00131	6816633
DB00131	711281
DB00131	713769
DB00131	730489
DB00132	36758683
DB00132	524832
DB00132	561341
DB00133	26756397
DB00133	26757819
DB00133	26757873
DB00133	26757998
DB00133	29537238
DB00133	514205
DB00133	514387
DB00133	531444
DB00134	26755755
DB00134	26755898
DB00134	29491158
DB00134	29537237
DB00134	29537279
DB00134	36758764
DB00134	495925
DB00134	514491
DB00134	526391
DB00135	26754072
DB00135	26754331
DB00135	26757083
DB00135	29491139
DB00135	29535745
DB00135	29538622
DB00135	29549112
DB00135	482111
DB00135	514474
DB00135	531518
DB00136	26987854
DB00136	27517665
DB00136	27677920
DB00136	29541527
DB00136	30152086
DB00136	30154490
DB00136	30154563
DB00136	30512692
DB00136	36745650
DB00136	36757265
DB00136	36757267
DB00136	36757268
DB00136	36789101
DB00136	485907
DB00136	8294511
DB00137	10186103
DB00137	18594343
DB00137	26750566
DB00137	28295506
DB00137	29542585
DB00137	31228721
DB00138	36757527
DB00138	36857398
DB00138	494730
DB00138	496151
DB00138	496171
DB00138	8293806
DB00138	8293808
DB00139	29536194
DB00139	29536196
DB00139	29536584
DB00139	481572
DB00140	26756557
DB00140	27678625
DB00140	31227883
DB00140	31240487
DB00140	594077
DB00140	711592
DB00140	884123
DB00141	27345144
