drugbank_id	chemicalbook_id
DB00254	CB31872720
DB00254	CB3289107
DB00254	CB41872833
DB00254	CB4489445
DB00254	CB6136567
DB00254	CB8663342
DB00254	CB92558403
DB00255	CB0503501
DB00255	CB3501447
DB00255	CB9751457
DB00256	CB2891297
DB00257	CB7404063
DB00258	CB21258851
DB00258	CB7854064
DB00258	CB8312095
DB00258	CB9135389
DB00258	CB9927175
DB00259	CB6212562
DB00260	CB1150021
DB00260	CB8160487
DB00260	CB9138759
DB00260	CB9487325
DB00262	CB0449612
DB00263	CB1495500
DB00264	CB1165973
DB00264	CB1297359
DB00264	CB3686041
DB00264	CB4165974
DB00264	CB7436617
DB00264	CB82630403
DB00264	CB8447962
DB00265	CB6451611
DB00266	CB9224757
DB00267	CB7771510
DB00268	CB5420618
DB00268	CB9137570
DB00269	CB9321078
DB00270	CB2268682
DB00271	CB1191671
DB00271	CB4473071
DB00271	CB5435661
DB00271	CB9258330
DB00272	CB0501633
DB00273	CB7402630
DB00274	CB2231321
DB00274	CB9231320
DB00275	CB12104206
DB00275	CB2350011
DB00276	CB1236394
DB00276	CB4236395
DB00277	CB42741934
DB00277	CB4285388
DB00278	CB12103951
DB00278	CB7738830
DB00278	CB9738829
DB00279	CB3195390
DB00279	CB8221269
DB00281	CB3396663
DB00281	CB9128024
DB00282	CB7707410
DB00282	CB9707409
DB00283	CB0376055
DB00283	CB3376056
DB00285	CB0136181
DB00285	CB42567671
DB00285	CB7136180
DB00285	CB7377495
DB00285	CB7383632
DB00287	CB22551218
DB00287	CB32654260
DB00287	CB5703458
DB00288	CB4419202
DB00289	CB3378328
DB00289	CB5757860
DB00289	CB81565221
DB00290	CB8412175
DB00291	CB5270716
DB00292	CB4113298
DB00293	CB1222070
DB00294	CB8146610
DB00296	CB0369811
DB00296	CB3353781
DB00296	CB3500541
DB00296	CB4412687
DB00297	CB1328400
DB00297	CB1386202
DB00297	CB3408801
DB00297	CB3920826
DB00297	CB4413068
DB00297	CB52130881
DB00297	CB8897837
DB00298	CB81216392
DB00299	CB7731886
DB00300	CB0949152
DB00301	CB0670388
DB00301	CB8690991
DB00302	CB1117189
DB00302	CB2948513
DB00302	CB41360886
DB00303	CB0722982
DB00303	CB11238838
DB00303	CB41261369
DB00304	CB2359630
DB00305	CB8456544
DB00307	CB6506670
DB00308	CB2511478
DB00309	CB5266881
DB00309	CB8326177
DB00310	CB3233539
DB00313	CB5394027
DB00313	CB7149528
DB00314	CB8471646
DB00316	CB1413658
DB00316	CB61261439
DB00317	CB12128725
DB00317	CB8120056
DB00319	CB0181853
DB00319	CB1237614
DB00320	CB4221630
DB00321	CB1159271
DB00321	CB1252307
DB00321	CB53375896
DB00322	CB3210097
DB00323	CB9302569
DB00324	CB9461978
DB00325	CB2116765
DB00328	CB1750267
DB00331	CB0506294
DB00332	CB9715938
DB00334	CB52743465
DB00334	CB5496888
DB00334	CB6755515
DB00335	CB2402170
DB00335	CB3753116
DB00336	CB0492724
DB00337	CB71086808
DB00339	CB7429387
DB00340	CB81455986
DB00341	CB02508122
DB00341	CB3440625
DB00341	CB5712207
DB00341	CB6135030
DB00341	CB9135031
DB00342	CB7695393
DB00343	CB5715839
DB00343	CB7302994
DB00343	CB83076569
DB00344	CB0774981
DB00345	CB5348161
DB00346	CB4332422
DB00346	CB8703590
DB00348	CB61386686
DB00350	CB7383531
DB00350	CB9494019
DB00351	CB9434253
DB00352	CB6361837
DB00353	CB6343310
DB00354	CB3156784
DB00355	CB0386184
DB00356	CB0392987
DB00357	CB5131691
DB00358	CB6252498
DB00359	CB4166214
DB00360	CB6206284
DB00360	CB9206285
DB00362	CB71120054
DB00363	CB1259841
DB00363	CB7776111
DB00364	CB2666189
DB00364	CB3507429
DB00364	CB3736883
DB00364	CB6360931
DB00364	CB7334306
DB00366	CB6316736
DB00366	CB9416701
DB00367	CB2752440
DB00367	CB7125746
DB00368	CB0356352
DB00368	CB32741881
DB00368	CB3275151
DB00368	CB3417135
DB00368	CB4135894
DB00368	CB6417136
DB00368	CB8346810
DB00369	CB01178278
DB00369	CB5492709
DB00370	CB0463388
DB00370	CB7463387
DB00373	CB0855077
DB00373	CB2918428
DB00373	CB3266706
DB00373	CB3711352
DB00374	CB32460050
DB00374	CB7231250
DB00376	CB4447818
DB00377	CB0210849
DB00377	CB32131051
DB00377	CB32544309
DB00377	CB32544354
DB00377	CB41004874
DB00378	CB5275115
DB00378	CB6196404
DB00379	CB22750077
DB00379	CB6114224
DB00379	CB9497353
DB00380	CB2251448
DB00380	CB52470916
DB00380	CB5918838
DB00381	CB2511519
DB00382	CB5402661
DB00382	CB5548129
DB00382	CB7699634
DB00383	CB6180823
DB00384	CB0663775
DB00385	CB9425095
DB00387	CB2875688
DB00388	CB0438096
DB00388	CB12741892
DB00388	CB5686843
DB00388	CB6762113
DB00388	CB91270209
DB00388	CB9144163
DB00389	CB3731303
DB00391	CB4141314
DB00391	CB4422019
DB00392	CB3149595
DB00393	CB1398087
DB00394	CB4376831
DB00395	CB0215440
DB00396	CB02192671
DB00396	CB22695020
DB00396	CB4224484
DB00398	CB2173616
DB00398	CB42545752
DB00398	CB9252510
DB00399	CB4395643
DB00399	CB5211391
DB00400	CB1766075
DB00400	CB21247846
DB00401	CB5147166
DB00402	CB1401303
DB00402	CB1468825
DB00403	CB2384634
DB00404	CB23607305
DB00405	CB1371365
DB00405	CB2736194
DB00406	CB2161846
DB00406	CB9161845
DB00408	CB8709350
DB00410	CB0689829
DB00410	CB22544584
DB00410	CB23359776
DB00410	CB31000480
DB00410	CB62544779
DB00411	CB1685095
DB00412	CB5947067
DB00412	CB7133275
DB00413	CB0486178
DB00413	CB6291554
DB00413	CB6969615
DB00415	CB2247346
DB00415	CB5247347
DB00415	CB8151850
DB00415	CB91270067
DB00416	CB7852570
DB00417	CB1713170
DB00418	CB1413052
DB00419	CB0125257
DB00419	CB21232075
DB00420	CB5875452
DB00420	CB7359640
DB00421	CB62623210
DB00421	CB9743463
DB00422	CB0188559
DB00423	CB3148129
DB00425	CB7451799
DB00425	CB83360349
DB00426	CB0464901
DB00427	CB4100461
DB00427	CB6232533
DB00427	CB7782853
DB00428	CB1476758
DB00429	CB5500398
DB00429	CB6384319
DB00429	CB8336488
DB00430	CB4511629
DB00430	CB5265046
DB00431	CB2281876
DB00431	CB5281877
DB00432	CB52667622
DB00433	CB7352500
DB00434	CB6698685
DB00434	CB7782550
DB00435	CB5433122
DB00436	CB3233276
DB00436	CB62542962
DB00437	CB1181254
DB00437	CB12486751
DB00437	CB3587524
DB00437	CB8909257
DB00438	CB1319833
DB00438	CB3246290
DB00438	CB7289569
DB00438	CB73155003
DB00439	CB5115264
DB00440	CB01105579
DB00440	CB2745185
DB00440	CB9250516
DB00441	CB4438054
DB00441	CB51175717
DB00442	CB0506719
DB00442	CB12653825
DB00442	CB23050736
DB00442	CB32653889
DB00442	CB53050737
DB00442	CB63050734
DB00442	CB83050248
DB00442	CB92533912
DB00442	CB9854927
DB00443	CB4261243
DB00443	CB7392335
DB00445	CB8113751
DB00446	CB3364529
DB00447	CB7330045
DB00448	CB01269822
DB00448	CB6396972
DB00448	CB71269821
DB00449	CB4501444
DB00449	CB6676807
DB00450	CB9145418
DB00451	CB2123792
DB00451	CB2276186
DB00451	CB4106276
DB00451	CB5352359
DB00451	CB5641174
DB00451	CB5853720
DB00451	CB8202790
DB00451	CB9123791
DB00452	CB0769897
DB00455	CB12630383
DB00455	CB5283770
DB00455	CB6710523
DB00456	CB52130371
DB00456	CB9443527
DB00457	CB6120870
DB00457	CB8120869
DB00458	CB1727489
DB00458	CB5886836
DB00458	CB6698241
DB00459	CB7184686
DB00459	CB9496886
DB00461	CB2386779
DB00462	CB0746986
DB00462	CB2453455
DB00462	CB4405362
DB00462	CB6502511
DB00462	CB6852573
DB00465	CB2427540
DB00465	CB52226607
DB00465	CB62485724
DB00465	CB6392833
DB00466	CB7351442
DB00467	CB2403021
DB00467	CB71006642
DB00467	CB8836670
DB00468	CB9208047
DB00468	CB9720330
DB00469	CB2163299
DB00471	CB31873055
DB00471	CB52511363
DB00471	CB7112818
DB00471	CB8143619
DB00471	CB82511283
DB00472	CB3361058
DB00472	CB83049703
DB00473	CB21178898
DB00474	CB1492534
DB00475	CB8266675
DB00477	CB5547531
DB00478	CB1270657
DB00478	CB7122907
DB00479	CB6503073
DB00479	CB7688755
DB00479	CB8146049
DB00480	CB3855432
DB00480	CB91176747
DB00481	CB1290431
DB00481	CB6302366
DB00482	CB7444681
DB00482	CB91267649
DB00482	CB93313564
DB00483	CB7852570
DB00483	CB9336142
DB00484	CB52130311
DB00484	CB8351621
DB00484	CB9111370
DB00485	CB4679268
DB00485	CB6704937
DB00487	CB2304155
DB00487	CB5304156
DB00487	CB7748671
DB00488	CB9480937
DB00489	CB6277510
DB00489	CB9712098
DB00490	CB1367137
DB00490	CB63118898
DB00490	CB73118901
DB00490	CB8367136
DB00490	CB93118899
DB00491	CB2742795
DB00492	CB12674383
DB00492	CB3151279
DB00492	CB5110597
DB00492	CB82674382
DB00493	CB2197478
DB00493	CB6511698
DB00494	CB5726435
DB00494	CB7334326
DB00495	CB1354971
DB00496	CB1506695
DB00496	CB42652607
DB00498	CB3429480
DB00498	CB42646440
DB00499	CB2468110
DB00500	CB2352833
DB00500	CB2875183
DB00501	CB31086794
DB00501	CB4229414
DB00501	CB7304291
DB00502	CB32131152
DB00502	CB72509133
DB00502	CB7774829
DB00503	CB0119429
DB00507	CB7219063
DB00509	CB2123792
DB00509	CB2276186
DB00509	CB4106276
DB00509	CB5352359
DB00509	CB5641174
DB00509	CB5853720
DB00509	CB8202790
DB00509	CB9123791
DB00512	CB4350686
DB00513	CB5223888
DB00513	CB52503197
DB00514	CB1699713
DB00514	CB82684325
DB00515	CB0152361
DB00515	CB1191893
DB00515	CB6236182
DB00515	CB6403296
DB00515	CB9403297
DB00515	CB9854275
DB00517	CB4405362
DB00517	CB6502511
DB00517	CB6852573
DB00518	CB0241320
DB00519	CB8682356
DB00520	CB51120146
DB00521	CB6335371
DB00523	CB11175476
DB00523	CB2386395
DB00523	CB3222630
DB00523	CB52511459
DB00523	CB6222631
DB00523	CB71365387
DB00524	CB4725936
DB00525	CB4396231
DB00526	CB0247786
DB00526	CB0323998
DB00526	CB0363657
DB00526	CB1217931
DB00526	CB3323999
DB00526	CB6357391
DB00526	CB8305912
DB00526	CB83313103
DB00526	CB9412187
DB00527	CB1396856
DB00527	CB8358372
DB00528	CB0371085
DB00528	CB31175379
DB00528	CB4133658
DB00530	CB03049808
DB00530	CB2285915
DB00530	CB9285914
DB00531	CB8547532
DB00532	CB0225135
DB00533	CB6327130
DB00534	CB0152361
DB00534	CB6403296
DB00534	CB9403297
DB00535	CB02512219
DB00535	CB7483101
DB00535	CB82695572
DB00536	CB3874769
DB00537	CB22670034
DB00537	CB52630301
DB00539	CB0287854
DB00540	CB1317147
DB00540	CB8218917
DB00542	CB3122020
DB00542	CB51269812
DB00542	CB5348020
DB00542	CB71269816
DB00543	CB5375947
DB00544	CB8162744
DB00545	CB9356274
DB00547	CB0346960
DB00548	CB6852982
DB00549	CB8703479
DB00550	CB9777662
DB00551	CB6395344
DB00552	CB4746489
DB00553	CB6733540
DB00554	CB1375282
DB00555	CB4166704
DB00556	CB2390806
DB00557	CB2547530
DB00557	CB2708962
DB00557	CB2777401
DB00558	CB0292498
DB00559	CB3425624
DB00559	CB6547457
DB00560	CB6248215
DB00561	CB4245654
DB00561	CB6189200
DB00563	CB0132572
DB00563	CB2704227
DB00563	CB2739302
DB00563	CB9739301
DB00564	CB1143564
DB00564	CB4447308
DB00565	CB62130242
DB00565	CB7855410
DB00565	CB9379882
DB00565	CB9885903
DB00566	CB9137530
DB00566	CB9142563
DB00567	CB1210543
DB00567	CB4153386
DB00567	CB42622037
DB00567	CB71270104
DB00568	CB6384748
DB00568	CB82542971
DB00569	CB41456602
DB00570	CB7407655
DB00570	CB8201955
DB00571	CB0237879
DB00571	CB0327608
DB00571	CB0875381
DB00571	CB4455695
DB00571	CB5112834
DB00571	CB63039539
DB00571	CB7496857
DB00571	CB8112835
DB00572	CB2163178
DB00572	CB5731099
DB00572	CB5772230
DB00572	CB6216656
DB00572	CB8315445
DB00572	CB9313701
DB00572	CB9325773
DB00573	CB3290884
DB00573	CB8287623
DB00574	CB0314194
DB00575	CB3763159
DB00575	CB6505769
DB00576	CB4266501
DB00576	CB72646481
DB00577	CB2379191
DB00577	CB92545045
DB00578	CB0243304
DB00578	CB7308325
DB00580	CB4754453
DB00581	CB5455748
DB00582	CB01123117
DB00582	CB1160110
DB00582	CB4855404
DB00582	CB82511410
DB00582	CB92610550
DB00583	CB1400043
DB00583	CB4464378
DB00583	CB8400042
DB00583	CB8853776
DB00584	CB1295108
DB00584	CB1467853
DB00584	CB2225962
DB00585	CB9739336
DB00586	CB5225367
DB00588	CB1252206
DB00588	CB52622685
DB00588	CB5274961
DB00590	CB1196737
DB00590	CB3285710
DB00590	CB71270407
DB00590	CB7216507
DB00591	CB6394372
DB00592	CB5852824
DB00593	CB1420630
DB00594	CB5290772
DB00594	CB7146512
DB00594	CB9501409
DB00595	CB6429340
DB00595	CB9311671
DB00595	CB9426658
DB00598	CB7735086
DB00598	CB8334888
DB00599	CB5265910
DB00599	CB7106914
DB00600	CB2156828
DB00601	CB02622130
DB00601	CB1287912
DB00602	CB0415655
DB00602	CB2918291
DB00602	CB9928288
DB00603	CB01453623
DB00603	CB8130110
DB00603	CB92188103
DB00604	CB31229740
DB00604	CB9121489
DB00605	CB3740374
DB00607	CB8769646
DB00607	CB9914919
DB00608	CB5467578
DB00608	CB7204393
DB00609	CB1292374
DB00610	CB4269274
DB00611	CB0181202
DB00612	CB03118896
DB00612	CB13118893
DB00612	CB33118897
DB00612	CB73118895
DB00612	CB8245445
DB00612	CB83118892
DB00612	CB8371980
DB00613	CB5156036
DB00613	CB8156037
DB00613	CB8344720
DB00614	CB8452405
DB00615	CB0702764
DB00618	CB12543393
DB00618	CB3272226
DB00619	CB7173646
DB00619	CB7370890
DB00620	CB1734678
DB00621	CB6112482
DB00622	CB1244267
DB00622	CB2487861
DB00624	CB4215857
DB00624	CB5380541
DB00625	CB7181559
DB00626	CB4911216
DB00626	CB9127618
DB00627	CB0276607
DB00629	CB9491023
DB00630	CB3380835
DB00630	CB6204745
DB00632	CB6219657
DB00633	CB0951588
DB00633	CB13335184
DB00633	CB22293969
DB00633	CB3838381
DB00633	CB41017166
DB00633	CB52130917
DB00633	CB92657667
DB00634	CB0268507
DB00634	CB0724249
DB00634	CB4264350
DB00635	CB6716222
DB00636	CB5774380
DB00639	CB3352597
DB00639	CB9706745
DB00640	CB1225066
DB00640	CB4697866
DB00640	CB7304660
DB00641	CB31176785
DB00641	CB32605217
DB00641	CB9716324
DB00642	CB22462178
DB00642	CB4170583
DB00642	CB4385473
DB00642	CB82509918
DB00643	CB8700094
DB00644	CB22130587
DB00644	CB2706342
DB00644	CB5104860
DB00645	CB0439886
DB00645	CB4475550
DB00646	CB0463474
DB00647	CB2326887
DB00647	CB91212119
DB00648	CB0392321
DB00649	CB4450928
DB00650	CB0193805
DB00650	CB5681752
DB00650	CB72470349
DB00651	CB7177891
DB00653	CB3122606
DB00653	CB32131213
DB00653	CB6122607
DB00653	CB6223052
DB00653	CB9122608
DB00654	CB1208384
DB00654	CB21176834
DB00654	CB32510403
DB00654	CB5224274
DB00655	CB5741416
DB00656	CB3376874
DB00656	CB3727463
DB00657	CB0215071
DB00657	CB3875478
DB00658	CB0265021
DB00658	CB7854110
DB00658	CB8381781
DB00658	CB9292835
DB00659	CB4310705
DB00660	CB0175959
DB00661	CB5376232
DB00662	CB5700149
DB00663	CB0320407
DB00663	CB2324823
DB00664	CB3725126
DB00665	CB3278091
DB00666	CB4246893
DB00668	CB2269997
DB00668	CB23358931
DB00668	CB4885559
DB00668	CB72673414
DB00668	CB8322199
DB00670	CB1245572
DB00671	CB02621214
DB00671	CB4210362
DB00671	CB51270100
DB00672	CB8677954
DB00673	CB02104032
DB00673	CB23146512
DB00673	CB32557888
DB00673	CB41876356
DB00673	CB53146508
DB00673	CB63146510
DB00673	CB7500857
DB00673	CB83146509
DB00674	CB2439815
DB00674	CB3369766
DB00674	CB5439816
DB00674	CB8345888
DB00674	CB8649070
DB00675	CB21261097
DB00675	CB7853805
DB00675	CB9438781
DB00676	CB9152283
DB00678	CB02485742
DB00678	CB11016779
DB00678	CB32545285
DB00678	CB72485741
DB00678	CB8120081
DB00678	CB92545409
DB00678	CB92545414
