drugbank_id	kegg_ligand_id
DB00007	C07612
DB00035	C06944
DB00080	C12013
DB00091	C05086
DB00104	C07306
DB00114	C00018
DB00115	C00175
DB00116	C00101
DB00117	C00135
DB00117	C00768
DB00117	C06419
DB00118	C00019
DB00119	C00022
DB00120	C00079
DB00120	C02057
DB00120	C02265
DB00121	C00120
DB00122	C00114
DB00123	C00047
DB00123	C00739
DB00123	C16440
DB00125	C00062
DB00125	C00792
DB00125	C02385
DB00126	C00072
DB00127	C00750
DB00128	C00049
DB00128	C00402
DB00128	C16433
DB00129	C00077
DB00129	C00515
DB00129	C01602
DB00130	C00064
DB00130	C00303
DB00130	C00819
DB00131	C00020
DB00132	C06427
DB00133	C00065
DB00133	C00716
DB00133	C00740
DB00134	C00073
DB00134	C00855
DB00134	C01733
DB00135	C00082
DB00135	C01536
DB00135	C06420
DB00136	C01673
DB00137	C08601
DB00138	C00491
DB00138	C01420
DB00139	C00042
DB00140	C00255
DB00142	C00025
DB00142	C00217
DB00142	C00302
DB00143	C00051
DB00143	C02471
DB00145	C00037
DB00146	C01561
DB00147	C00250
DB00148	C00300
DB00149	C00123
DB00149	C01570
DB00149	C16439
DB00150	C00078
DB00150	C00525
DB00150	C00806
DB00151	C00097
DB00151	C00736
DB00151	C00793
DB00152	C00378
DB00153	C05441
DB00154	C03242
DB00155	C00327
DB00156	C00188
DB00156	C00820
DB00156	C05519
DB00156	C12317
DB00158	C00504
DB00159	C06428
DB00160	C00041
DB00160	C00133
DB00160	C01401
DB00161	C00183
DB00161	C06417
DB00161	C16436
DB00162	C00473
DB00162	C00899
DB00162	C16682
DB00162	C17276
DB00163	C02477
DB00165	C00314
DB00166	C00725
DB00166	C16241
DB00167	C00407
DB00167	C06418
DB00167	C16434
DB00169	C05443
DB00170	C05377
DB00171	C00002
DB00172	C00148
DB00172	C00763
DB00172	C16435
DB00173	C00147
DB00174	C00152
DB00174	C01905
DB00174	C16438
DB00175	C01844
DB00176	C07571
DB00179	C10719
DB00180	C07005
DB00182	C07514
DB00182	C07884
DB00184	C00745
DB00184	C16150
DB00184	C16386
DB00187	C06980
DB00189	C07833
DB00190	C06870
DB00191	C07438
DB00193	C07153
DB00194	C00212
DB00195	C06849
DB00198	C08092
DB00198	C08093
DB00199	C01912
DB00200	C00001
DB00200	C01328
DB00201	C07481
DB00202	C07546
DB00203	C07259
DB00204	C07751
DB00205	C07391
DB00206	C06539
DB00207	C06838
DB00208	C07140
DB00211	C07890
DB00212	C07465
DB00213	C11806
DB00215	C07572
DB00218	C07663
DB00218	C08054
DB00220	C07257
DB00220	C08091
DB00221	C07053
DB00222	C07669
DB00223	C14479
DB00224	C07051
DB00224	C08089
DB00225	C13106
DB00226	C07035
DB00227	C07074
DB00228	C07516
DB00231	C07125
DB00232	C07765
DB00233	C02518
DB00235	C07224
DB00235	C13595
DB00236	C07362
DB00237	C07827
DB00238	C07263
DB00239	C08074
DB00239	C08075
DB00245	C06846
DB00246	C07568
DB00247	C07199
DB00248	C08187
DB00250	C07666
DB00251	C08080
DB00252	C07443
DB00253	C14643
DB00254	C06973
DB00255	C07620
DB00257	C06922
DB00258	C00033
DB00258	C00076
DB00259	C07458
DB00260	C06682
DB00260	C08057
DB00262	C06873
DB00263	C07318
DB00264	C07202
DB00266	C00796
DB00268	C07564
DB00271	C13429
DB00273	C07502
DB00274	C08103
DB00274	C08104
DB00276	C01553
DB00277	C07130
DB00278	C04931
DB00279	C02465
DB00280	C06965
DB00280	C07740
DB00281	C07073
DB00282	C07395
DB00283	C06913
DB00285	C07187
DB00290	C06854
DB00291	C06900
DB00292	C07522
DB00293	C11372
DB00296	C07532
DB00297	C07529
DB00297	C07887
DB00299	C07417
DB00301	C11748
DB00302	C12535
DB00304	C07629
DB00305	C06681
DB00308	C07753
DB00312	C07422
DB00313	C07185
DB00316	C06804
DB00319	C07361
DB00319	C14034
DB00320	C07798
DB00321	C06824
DB00322	C11736
DB00323	C07949
DB00325	C07695
DB00327	C07042
DB00328	C01926
DB00330	C06984
DB00331	C07151
DB00332	C07052
DB00333	C07163
DB00334	C07322
DB00336	C08042
DB00339	C01956
DB00341	C07778
DB00342	C07463
DB00343	C06958
DB00344	C07408
DB00351	C08151
DB00352	C07648
DB00354	C07777
DB00356	C07931
DB00357	C07617
DB00358	C07633
DB00359	C07658
DB00360	C00272
DB00363	C06924
DB00364	C00001
DB00364	C01328
DB00365	C11368
DB00366	C19414
DB00367	C08149
DB00367	C08153
DB00368	C00547
DB00369	C06909
DB00370	C07570
DB00372	C07132
DB00373	C07141
DB00376	C07171
DB00379	C07220
DB00381	C06825
DB00382	C01453
DB00383	C07851
DB00387	C07378
DB00388	C07441
DB00389	C07615
DB00390	C06956
DB00393	C07267
DB00394	C07813
DB00395	C07927
DB00396	C00410
DB00397	C02343
DB00397	C07911
DB00397	C08300
DB00397	C16719
DB00400	C06686
DB00401	C07699
DB00404	C06817
DB00405	C06857
DB00408	C07104
DB00410	C11758
DB00414	C06806
DB00415	C06574
DB00415	C13652
DB00416	C00708
DB00416	C05590
DB00416	C07919
DB00417	C08126
DB00420	C07379
DB00421	C07310
DB00422	C07196
DB00425	C07219
DB00428	C07313
DB00429	C06872
DB00429	C07182
DB00430	C13376
DB00431	C06988
DB00431	C07075
DB00431	C15214
DB00431	C18738
DB00433	C07403
DB00433	C13524
DB00434	C06935
DB00435	C00533
DB00436	C07758
DB00438	C06889
DB00439	C07966
DB00440	C01965
DB00441	C07650
DB00443	C15643
DB00444	C11153
DB00445	C01661
DB00445	C11230
DB00446	C00918
DB00447	C08109
DB00449	C06963
DB00451	C01829
DB00451	C08212
DB00452	C01737
DB00452	C15652
DB00454	C07128
DB00456	C07761
DB00456	C08100
DB00457	C07368
DB00458	C07049
DB00458	C07982
DB00462	C01324
DB00462	C13645
DB00464	C01330
DB00465	C07062
DB00466	C09528
DB00466	C09529
DB00467	C06979
DB00468	C06526
DB00468	C06527
DB00470	C06972
DB00471	C07482
DB00473	C14172
DB00474	C07844
DB00477	C06906
DB00478	C07236
DB00478	C08094
DB00479	C06820
DB00481	C07228
DB00482	C07589
DB00483	C00708
DB00483	C05590
DB00484	C07886
DB00485	C06950
DB00485	C13756
DB00489	C07309
DB00490	C06861
DB00491	C07708
DB00492	C07016
DB00493	C06885
DB00493	C08113
DB00494	C07943
DB00495	C07210
DB00498	C07584
DB00499	C07653
DB00500	C02328
DB00500	C07149
DB00501	C06952
DB00502	C01814
DB00503	C07240
DB00504	C07069
DB00505	C07861
DB00505	C07862
DB00505	C11761
DB00509	C01829
DB00509	C08212
DB00512	C06689
DB00513	C02378
DB00514	C06947
DB00515	C00014
DB00515	C00698
DB00515	C01327
DB00515	C01342
DB00517	C01324
DB00517	C06830
DB00517	C13645
DB00518	C01779
DB00521	C06874
DB00523	C00777
DB00523	C15493
DB00526	C00209
DB00527	C07879
DB00529	C06456
DB00531	C07888
DB00533	C07590
DB00534	C00698
DB00534	C01327
DB00535	C08110
DB00537	C05349
DB00539	C08166
DB00540	C07274
DB00541	C07204
DB00541	C13974
DB00542	C06843
DB00542	C07701
DB00544	C07649
DB00545	C07410
DB00548	C08261
DB00549	C07206
DB00550	C07569
DB00551	C06808
DB00552	C02267
DB00553	C01864
DB00554	C01608
DB00557	C07045
DB00558	C08095
DB00560	C12012
DB00562	C07759
DB00563	C01937
DB00564	C06868
DB00565	C07548
DB00566	C07598
DB00567	C06895
DB00567	C08099
DB00570	C07201
DB00570	C09218
DB00570	C11626
DB00571	C07407
DB00571	C11193
DB00572	C01479
DB00572	C02046
DB00573	C02539
DB00573	C06997
DB00574	C06996
DB00576	C08050
DB00577	C07184
DB00578	C06869
DB00578	C13967
DB00581	C07064
DB00582	C07622
DB00583	C00318
DB00583	C00487
DB00583	C15025
DB00584	C06977
DB00585	C07270
DB00586	C01690
DB00590	C06970
DB00592	C07973
DB00593	C07505
DB00594	C06821
DB00595	C06624
DB00595	C13055
DB00598	C07063
DB00599	C07521
DB00600	C14244
DB00601	C08146
DB00602	C07970
DB00603	C08150
DB00604	C06910
DB00605	C01531
DB00606	C12685
DB00607	C07250
DB00607	C08124
DB00608	C07625
DB00609	C07665
DB00610	C07146
DB00611	C06863
DB00612	C06852
DB00613	C07626
DB00614	C07999
DB00615	C07235
DB00617	C07411
DB00621	C07346
DB00622	C07264
DB00623	C07010
DB00624	C00535
DB00625	C08088
DB00626	C15482
DB00627	C00253
DB00628	C06921
DB00629	C07034
DB00630	C07752
DB00633	C07450
DB00634	C08051
DB00635	C07370
DB00636	C06916
DB00637	C06832
DB00639	C08065
DB00639	C08066
DB00640	C00212
DB00644	C07607
DB00645	C07881
DB00646	C12155
DB00647	C07406
DB00649	C07312
DB00650	C03479
DB00650	C17731
DB00651	C07819
DB00652	C07421
DB00653	C00059
DB00653	C00305
DB00655	C00468
DB00656	C07156
DB00657	C07511
DB00658	C14449
DB00660	C07934
DB00661	C07188
DB00662	C07178
DB00663	C14479
DB00664	C12616
DB00665	C08164
DB00666	C07613
DB00668	C00788
DB00670	C07508
DB00671	C06881
DB00674	C08526
DB00675	C07108
DB00677	C00202
DB00678	C07072
DB00680	C07743
DB00681	C06573
DB00682	C01541
DB00683	C07524
DB00684	C00397
DB00685	C07664
DB00687	C07004
DB00688	C07908
DB00689	C13440
DB00691	C07704
DB00694	C01907
DB00695	C07017
DB00696	C07544
DB00697	C07452
DB00698	C07268
DB00700	C12512
DB00701	C08086
DB00703	C07764
DB00704	C07253
DB00705	C06941
DB00705	C08087
DB00706	C07124
DB00708	C08022
DB00709	C07065
DB00711	C07968
DB00713	C07334
DB00715	C07415
DB00716	C07255
DB00717	C05028
DB00719	C07774
DB00721	C07375
DB00721	C07894
DB00723	C07513
DB00725	C01324
DB00725	C13645
DB00726	C14029
DB00727	C07455
DB00728	C07556
DB00730	C07131
DB00732	C07548
DB00733	C07400
DB00735	C08071
DB00735	C08072
DB00736	C07324
DB00737	C07116
DB00738	C07420
DB00739	C11729
DB00739	C13980
DB00740	C07937
DB00742	C00392
DB00742	C00794
DB00742	C01489
DB00742	C01507
DB00742	C01697
DB00742	C01722
DB00747	C01851
DB00748	C06871
DB00749	C06991
DB00750	C07531
DB00752	C07155
DB00753	C07518
DB00754	C07839
DB00755	C00777
DB00755	C15493
DB00756	C08039
DB00757	C07866
DB00759	C06570
DB00761	C00238
DB00761	C00698
DB00761	C01327
DB00762	C11294
DB00762	C16641
DB00763	C07190
DB00764	C07816
DB00765	C07921
DB00766	C06662
