drugbank_id	pubchem_tpharma_id
DB00006	14891095
DB00006	15363303
DB00007	131341820
DB00007	14768707
DB00007	14792716
DB00007	14792717
DB00007	14841815
DB00007	14866575
DB00007	14890460
DB00007	14890543
DB00007	14939438
DB00007	14939439
DB00007	14939542
DB00007	14939926
DB00007	16783745
DB00007	47213858
DB00007	99376819
DB00007	99376929
DB00014	131339118
DB00014	14841899
DB00014	14940005
DB00014	16593612
DB00035	14767973
DB00035	14768159
DB00035	14792489
DB00035	14890191
DB00050	131536304
DB00050	14768541
DB00050	14842112
DB00050	14915241
DB00050	14915566
DB00050	14967128
DB00050	16299679
DB00050	21959982
DB00050	57278194
DB00050	81046041
DB00050	85283949
DB00080	135647460
DB00080	14890837
DB00080	14939862
DB00080	163542129
DB00080	56468806
DB00091	103911675
DB00091	14792622
DB00091	14817125
DB00091	14817126
DB00091	14817127
DB00091	14866177
DB00091	14866178
DB00091	14914941
DB00091	15510395
DB00091	15710602
DB00091	16141598
DB00091	16275145
DB00091	16747030
DB00091	16931078
DB00093	16874631
DB00093	17503556
DB00104	131339098
DB00104	14768855
DB00104	14792217
DB00104	14939169
DB00104	152191363
DB00104	16651896
DB00104	16901119
DB00104	26681878
DB00104	26738293
DB00104	49754122
DB00104	56339199
DB00104	56452078
DB00104	57414837
DB00104	74375229
DB00104	74375299
DB00104	74375300
DB00104	74375370
DB00104	74375371
DB00104	74375443
DB00104	74375444
DB00104	74375510
DB00104	85189867
DB00106	14768525
DB00106	14915219
DB00106	15242631
DB00114	134431075
DB00114	135664264
DB00114	14847611
DB00114	14888604
DB00114	14963425
DB00114	16323219
DB00114	163471052
DB00114	16608059
DB00114	16614624
DB00114	16698498
DB00114	16775053
DB00114	16810791
DB00115	14747294
DB00115	14842039
DB00115	15933982
DB00115	16262730
DB00115	163499746
DB00115	163499748
DB00115	16397925
DB00115	16459337
DB00115	16471615
DB00115	24776634
DB00115	85749277
DB00115	99243021
DB00116	104229055
DB00116	135379385
DB00116	14759609
DB00116	14783879
DB00116	14785770
DB00116	14857355
DB00116	14883585
DB00116	14908083
DB00116	15240292
DB00116	16089619
DB00116	163499921
DB00116	163500150
DB00116	16455256
DB00116	16540428
DB00116	16649811
DB00116	16729485
DB00116	16835751
DB00116	16943089
DB00116	85205691
DB00116	85205692
DB00116	85205916
DB00116	85205917
DB00116	85205918
DB00116	85205919
DB00116	85262769
DB00117	14747966
DB00117	14772376
DB00117	15091155
DB00117	15120226
DB00117	15170951
DB00117	15265119
DB00117	15321675
DB00117	15321676
DB00117	15321682
DB00117	15339432
DB00117	15388644
DB00117	15462183
DB00117	16238413
DB00117	16238459
DB00117	16275662
DB00117	16472110
DB00117	57644999
DB00117	96040640
DB00118	14793054
DB00118	14805656
DB00118	14805657
DB00118	14830370
DB00118	14840385
DB00118	14841069
DB00118	14862236
DB00118	14863197
DB00118	14887304
DB00118	14912797
DB00118	14912835
DB00118	14915681
DB00118	14930202
DB00118	14938527
DB00118	14939993
DB00118	14962317
DB00118	14964522
DB00118	14965097
DB00118	14983241
DB00118	14988451
DB00118	15009032
DB00118	15011431
DB00118	15012225
DB00118	15012966
DB00118	15013767
DB00118	15014548
DB00118	15038185
DB00118	15038390
DB00118	15038807
DB00118	15039000
DB00118	15039066
DB00118	15039067
DB00118	15039274
DB00118	15039690
DB00118	15061105
DB00118	15062894
DB00118	15064197
DB00118	15064637
DB00118	15082724
DB00118	15084736
DB00118	15088535
DB00118	15110435
DB00118	15111790
DB00118	15134207
DB00118	15145185
DB00118	15162762
DB00118	15180629
DB00118	15186459
DB00118	15228574
DB00118	15255722
DB00118	15257848
DB00118	15261175
DB00118	15261673
DB00118	15262310
DB00118	15262431
DB00118	15262602
DB00118	15262729
DB00118	15281277
DB00118	15288912
DB00118	15313050
DB00118	15356011
DB00118	15360181
DB00118	15360628
DB00118	15361452
DB00118	15382011
DB00118	15384751
DB00118	15384920
DB00118	15385406
DB00118	15407927
DB00118	15410325
DB00118	15410813
DB00118	15431625
DB00118	15431636
DB00118	15432561
DB00118	15432684
DB00118	15433705
DB00118	15456314
DB00118	15459229
DB00118	15479910
DB00118	15484383
DB00118	15485359
DB00118	15507336
DB00118	15507711
DB00118	15508172
DB00118	15508324
DB00118	16186764
DB00118	163471916
DB00118	16470940
DB00118	16477986
DB00118	16544612
DB00118	16608020
DB00118	16812301
DB00118	16862251
DB00118	16865455
DB00118	16873765
DB00118	24747782
DB00118	26514731
DB00118	26738656
DB00118	49811892
DB00118	49837886
DB00118	49837919
DB00118	49837920
DB00118	56265811
DB00118	56351066
DB00118	56388957
DB00118	56460480
DB00118	57271979
DB00118	57271980
DB00118	57271981
DB00118	87231408
DB00118	87231521
DB00118	87462717
DB00118	96059071
DB00118	96059402
DB00118	99230953
DB00119	14793656
DB00119	14842806
DB00119	14842809
DB00119	14842811
DB00119	15170403
DB00119	15194189
DB00119	15194194
DB00119	16508126
DB00119	16946262
DB00120	14843134
DB00120	14968016
DB00120	14992434
DB00120	15066585
DB00120	15091303
DB00120	15147099
DB00120	15194938
DB00120	15219430
DB00120	15243306
DB00120	15243347
DB00120	15339594
DB00120	15339650
DB00120	15364022
DB00120	15413239
DB00120	15462347
DB00120	15486987
DB00120	15487005
DB00120	15536447
DB00120	15536448
DB00120	15686530
DB00120	15736464
DB00120	16130205
DB00120	16472239
DB00120	16935846
DB00120	49695343
DB00120	56452026
DB00120	99438944
DB00121	14798470
DB00121	14823272
DB00121	15465250
DB00121	15937232
DB00121	16264885
DB00121	16583222
DB00121	16879707
DB00123	117638676
DB00123	15219170
DB00123	15297427
DB00123	15315418
DB00123	15321566
DB00123	15321579
DB00123	15437346
DB00123	16032282
DB00123	16472023
DB00123	85251131
DB00123	85251132
DB00123	85251253
DB00125	117698143
DB00125	117698144
DB00125	117698145
DB00125	14748242
DB00125	14772629
DB00125	14772630
DB00125	14772631
DB00125	14772651
DB00125	15195065
DB00125	15321972
DB00125	15321973
DB00125	16410801
DB00125	96061478
DB00126	14992618
DB00126	15195088
DB00126	15219590
DB00126	15219591
DB00126	15321980
