drugbank_id	nikkaji_id
DB00133	J2.159.888G
DB00133	J2.198.752B
DB00133	J2.278.319J
DB00133	J2.323.013E
DB00133	J2.629.699D
DB00133	J2.640.498C
DB00133	J2.730.439G
DB00133	J2.963.911F
DB00133	J3.069.765K
DB00133	J338.335K
DB00133	J366.495C
DB00133	J482.382F
DB00133	J629.801J
DB00133	J672.423J
DB00133	J760.929I
DB00133	J967.703H
DB00133	J993.089B
DB00134	J1.065.675C
DB00134	J1.065.676A
DB00134	J1.261.366K
DB00134	J1.279.082A
DB00134	J1.286F
DB00134	J1.352.820I
DB00134	J1.380.727B
DB00134	J1.569.657E
DB00134	J1.607.525F
DB00134	J1.649.332E
DB00134	J1.698.282B
DB00134	J2.002.216G
DB00134	J2.079.720G
DB00134	J2.150.231F
DB00134	J2.164.861B
DB00134	J2.316.714J
DB00134	J2.316.715H
DB00134	J2.329.763I
DB00134	J2.338.001C
DB00134	J2.830.945G
DB00134	J3.115.154F
DB00134	J3.280.450K
DB00134	J429.862D
DB00134	J9.174J
DB00134	J9.192H
DB00135	J1.050.920C
DB00135	J1.418.395G
DB00135	J1.419.304I
DB00135	J1.419.305G
DB00135	J1.526.782H
DB00135	J1.526.792E
DB00135	J1.615.799F
DB00135	J1.824.130G
DB00135	J2.190.799E
DB00135	J2.190.801K
DB00135	J2.190.802I
DB00135	J2.229.376A
DB00135	J2.292.156H
DB00135	J2.292.159B
DB00135	J2.300.621I
DB00135	J2.323.289H
DB00135	J2.327.670D
DB00135	J2.345.541B
DB00135	J2.420.732C
DB00135	J2.521.658J
DB00135	J2.635.446C
DB00135	J2.732.517C
DB00135	J3.301.431G
DB00135	J598.196D
DB00135	J651.555J
DB00135	J651.556H
DB00135	J792.451H
DB00135	J9.173A
DB00135	J9.196K
DB00135	J980.729B
DB00135	J980.730F
DB00135	J990.171J
DB00135	J995.092C
DB00136	J1.136.303B
DB00136	J1.148.400J
DB00136	J1.234.534H
DB00136	J1.464.472E
DB00136	J1.502.538G
DB00136	J1.741.827K
DB00136	J1.758.179A
DB00136	J17.427K
DB00136	J2.246.382I
DB00136	J285.178D
DB00136	J3.597.049E
DB00136	J3.597.050I
DB00136	J425.299C
DB00136	J468.306D
DB00136	J522.056D
