drugbank_id	actor_id
DB00160	18875-37-1
DB00160	25191-17-7
DB00160	302-72-7
DB00160	338-69-2
DB00160	56-41-7
DB00160	71261-64-8
DB00160	77160-91-9
DB00160	81558-16-9
DB00161	16872-32-5
DB00161	186023-77-8
DB00161	25609-85-2
DB00161	516-06-3
DB00161	640-68-6
DB00161	72-18-4
DB00162	11103-57-4
DB00162	13123-33-6
DB00162	2052-63-3
DB00162	22737-96-8
DB00162	22737-97-9
DB00162	65702-93-4
DB00162	68-26-8
DB00162	85026-82-0
DB00163	10191-41-0
DB00163	11105-14-9
DB00163	113085-06-6
DB00163	121854-78-2
DB00163	1406-18-4
DB00163	2074-53-5
DB00163	59-02-9
DB00165	65-23-6
DB00166	1077-27-6
DB00166	1077-28-7
DB00166	1200-22-2
DB00166	132461-39-3
DB00166	14358-90-8
DB00166	20902-53-8
DB00166	2319-84-8
DB00166	57828-26-9
DB00166	62-46-4
DB00167	1509-34-8
DB00167	1509-35-9
DB00167	198412-80-5
DB00167	3107-04-8
DB00167	319-78-8
DB00167	34464-35-2
DB00167	410078-51-2
DB00167	443-79-8
DB00167	73-32-5
DB00169	1406-16-2
DB00169	2138-18-3
DB00169	3965-99-9
DB00169	57651-82-8
DB00169	58542-37-3
DB00169	67-97-0
DB00170	34524-96-4
DB00170	58-27-5
DB00170	72060-21-0
DB00171	10168-83-9
DB00171	2964-07-0
DB00171	3714-60-1
DB00171	4468-22-8
DB00171	56-65-5
DB00171	653-60-1
DB00172	147-85-3
DB00172	18875-45-1
DB00172	25191-13-3
DB00172	344-25-2
DB00172	37159-97-0
DB00172	609-36-9
DB00173	22051-90-7
DB00173	5019-49-8
DB00173	7224-92-2
DB00174	2058-58-4
DB00174	3130-87-8
DB00174	32640-57-6
DB00174	70-47-3
DB00174	7006-34-0
DB00175	115873-26-2
DB00175	81093-37-0
DB00175	81131-70-6
DB00176	54739-18-3
DB00176	54739-20-7
DB00176	61718-82-9
DB00177	137862-53-4
DB00177	186615-83-8
DB00177	254972-16-2
DB00178	126613-39-6
DB00178	87333-19-5
DB00179	1413-68-9
DB00179	27686-84-6
DB00179	500-38-9
DB00180	3385-03-3
DB00180	77326-96-6
DB00181	1134-47-0
DB00181	62594-36-9
DB00181	63701-55-3
DB00181	63701-56-4
DB00181	66514-99-6
DB00181	69308-37-8
DB00181	70206-22-3
DB00182	156-34-3
DB00182	17108-96-2
DB00182	300-62-9
DB00182	51-64-9
DB00182	60-15-1
DB00182	73758-24-4
DB00182	73758-25-5
DB00182	73758-26-6
DB00183	5534-95-2
DB00184	13890-81-8
DB00184	1596-94-7
DB00184	22083-74-5
DB00184	25162-00-9
DB00184	54-11-5
DB00184	80604-52-0
DB00184	94292-33-8
DB00185	107220-28-0
DB00185	107220-29-1
DB00185	107233-08-9
DB00185	124620-89-9
DB00185	153504-70-2
DB00186	119177-41-2
DB00186	846-49-1
DB00187	103598-03-4
DB00187	81147-92-4
DB00187	81161-17-3
DB00187	85614-76-2
DB00188	179324-69-7
DB00189	113-18-8
DB00189	77257-37-5
