drugbank_id	surechembl_id
DB00080	SCHEMBL8221756
DB00080	SCHEMBL8221760
DB00080	SCHEMBL8227262
DB00091	SCHEMBL12522443
DB00091	SCHEMBL12799543
DB00091	SCHEMBL12923645
DB00091	SCHEMBL13073066
DB00091	SCHEMBL13223210
DB00091	SCHEMBL13379284
DB00091	SCHEMBL13509209
DB00091	SCHEMBL13987071
DB00091	SCHEMBL14099239
DB00091	SCHEMBL14198843
DB00091	SCHEMBL14476789
DB00091	SCHEMBL14497780
DB00091	SCHEMBL15251620
DB00091	SCHEMBL15500755
DB00091	SCHEMBL16021192
DB00091	SCHEMBL1708909
DB00091	SCHEMBL1708949
DB00091	SCHEMBL17555
DB00091	SCHEMBL17917683
DB00091	SCHEMBL18418123
DB00091	SCHEMBL18493283
DB00091	SCHEMBL18571176
DB00091	SCHEMBL18672562
DB00091	SCHEMBL19151476
DB00091	SCHEMBL19335616
DB00091	SCHEMBL19372463
DB00091	SCHEMBL19372464
DB00091	SCHEMBL19680003
DB00091	SCHEMBL20143846
DB00091	SCHEMBL20180084
DB00091	SCHEMBL20475023
DB00091	SCHEMBL21170318
DB00091	SCHEMBL3490
DB00091	SCHEMBL3491
DB00091	SCHEMBL4331439
DB00091	SCHEMBL4442
DB00091	SCHEMBL4443
DB00091	SCHEMBL4454089
DB00091	SCHEMBL66895
DB00093	SCHEMBL15156083
DB00093	SCHEMBL1650172
DB00093	SCHEMBL2112175
DB00093	SCHEMBL33291
DB00093	SCHEMBL361197
DB00093	SCHEMBL4405496
DB00093	SCHEMBL5199973
DB00093	SCHEMBL7623173
DB00104	SCHEMBL10044649
DB00104	SCHEMBL1030008
DB00104	SCHEMBL1030022
DB00104	SCHEMBL1411885
DB00104	SCHEMBL14157162
DB00104	SCHEMBL15135020
DB00104	SCHEMBL15570084
DB00104	SCHEMBL1580712
DB00104	SCHEMBL15856937
DB00104	SCHEMBL15926145
DB00104	SCHEMBL15932939
DB00104	SCHEMBL1675984
DB00104	SCHEMBL16767678
DB00104	SCHEMBL16896858
DB00104	SCHEMBL17396365
DB00104	SCHEMBL17404479
DB00104	SCHEMBL17404481
DB00104	SCHEMBL17404626
DB00104	SCHEMBL17404705
DB00104	SCHEMBL17686538
DB00104	SCHEMBL18321818
DB00104	SCHEMBL18344300
DB00104	SCHEMBL18344311
DB00104	SCHEMBL18344315
