drugbank_id	drugcentral_id
DB00528	4157
DB00529	1241
DB00530	1045
DB00531	758
DB00532	1695
DB00533	2397
DB00534	4568
DB00535	533
DB00536	1344
DB00537	659
DB00539	2709
DB00540	1971
DB00541	2825
DB00542	299
DB00543	191
DB00544	26
DB00545	2330
DB00546	93
DB00547	819
DB00548	270
DB00549	2855
DB00550	2308
DB00551	58
DB00552	2098
DB00553	30
DB00554	2210
DB00555	1540
DB00556	2104
DB00557	1400
DB00558	2859
DB00559	392
DB00560	2661
DB00561	953
DB00562	332
DB00563	1751
DB00564	489
DB00565	259
DB00565	661
DB00566	2486
DB00567	571
DB00568	654
DB00569	1236
DB00570	2823
DB00571	2303
DB00572	1402
DB00572	260
DB00573	1154
DB00574	1150
DB00574	832
DB00575	704
DB00576	2512
DB00577	2798
DB00578	492
DB00579	1640
DB00580	2799
DB00581	1536
DB00582	2846
DB00583	513
DB00584	1005
DB00585	1955
DB00586	865
DB00587	648
DB00588	1225
DB00589	1588
DB00590	954
DB00591	1204
DB00592	2188
DB00593	1087
DB00594	158
DB00595	2041
DB00598	1531
DB00598	894
DB00599	2633
DB00600	1834
DB00601	1584
DB00603	1659
DB00604	660
DB00605	2534
DB00606	761
DB00607	1869
DB00608	607
DB00609	1083
DB00610	1721
DB00611	454
DB00612	380
DB00613	186
DB00614	1257
DB00615	2376
DB00617	2059
DB00618	802
DB00619	1423
DB00620	2725
DB00621	2011
DB00622	1909
DB00622	5
DB00623	1212
DB00624	2607
DB00625	989
DB00627	2835
DB00628	711
DB00629	3952
DB00630	112
DB00631	691
DB00632	940
DB00633	1655
DB00633	835
DB00634	2497
DB00635	2253
DB00636	694
DB00637	249
DB00639	450
DB00640	2818
DB00640	90
DB00641	2445
DB00642	2073
DB00643	1641
DB00644	2958
DB00645	974
DB00646	1977
DB00647	1573
DB00647	844
DB00648	1820
DB00649	2478
DB00650	1232
DB00650	4384
DB00651	976
DB00652	3424
DB00654	1551
DB00655	3188
DB00656	2717
DB00657	1646
DB00659	38
DB00660	1722
DB00661	2815
DB00662	2754
DB00663	4548
DB00664	2517
DB00665	1933
DB00666	1868
DB00668	1028
DB00668	4508
DB00670	2200
DB00671	537
DB00672	622
DB00673	230
DB00674	1272
DB00675	2561
DB00676	335
DB00677	1494
DB00678	1610
DB00679	2637
DB00680	1842
DB00681	197
DB00682	2847
