drugbank_id	comptox_id
DB00156	DTXSID70859087
DB00156	DTXSID70893087
DB00158	DTXSID0022519
DB00158	DTXSID10224098
DB00158	DTXSID40747821
DB00158	DTXSID70747819
DB00158	DTXSID80747820
DB00159	DTXSID9041023
DB00160	DTXSID10480394
DB00160	DTXSID10583874
DB00160	DTXSID20873899
DB00160	DTXSID30190185
DB00160	DTXSID3045649
DB00160	DTXSID30480396
DB00160	DTXSID30583937
DB00160	DTXSID40473350
DB00160	DTXSID50480393
DB00160	DTXSID50583939
DB00160	DTXSID50583959
DB00160	DTXSID6031255
DB00160	DTXSID60458962
DB00160	DTXSID60583849
DB00160	DTXSID70444235
DB00160	DTXSID70480390
DB00160	DTXSID70480395
DB00160	DTXSID70584029
DB00160	DTXSID80583881
DB00160	DTXSID90433343
DB00160	DTXSID90480392
DB00160	DTXSID90583938
DB00160	DTXSID90583958
DB00161	DTXSID0046064
DB00161	DTXSID00479090
DB00161	DTXSID20436827
DB00161	DTXSID40453298
DB00161	DTXSID40473411
DB00161	DTXSID40514732
DB00161	DTXSID40883233
DB00161	DTXSID50585291
DB00161	DTXSID80514731
DB00161	DTXSID90478996
DB00162	DTXSID3023556
DB00163	DTXSID0026339
DB00163	DTXSID00873170
DB00163	DTXSID60873171
DB00163	DTXSID8021355
DB00165	DTXSID10574085
DB00165	DTXSID4023541
DB00165	DTXSID50574084
DB00166	DTXSID20152651
DB00166	DTXSID30841468
DB00166	DTXSID40828169
DB00166	DTXSID7025508
DB00166	DTXSID80675992
DB00167	DTXSID1046346
DB00167	DTXSID1047441
DB00167	DTXSID2046882
DB00167	DTXSID20585187
DB00167	DTXSID3046530
DB00167	DTXSID50443307
DB00169	DTXSID50735355
DB00169	DTXSID6026294
DB00170	DTXSID00575086
DB00170	DTXSID00827375
DB00170	DTXSID30799834
DB00170	DTXSID4021715
DB00170	DTXSID60617037
DB00170	DTXSID70799833
DB00170	DTXSID80737781
DB00170	DTXSID90703033
DB00171	DTXSID00349325
DB00171	DTXSID10215648
DB00171	DTXSID30349338
DB00171	DTXSID6022559
DB00172	DTXSID20584372
DB00172	DTXSID5044021
DB00172	DTXSID70883367
DB00172	DTXSID9041104
DB00173	DTXSID10411860
DB00173	DTXSID50736180
DB00173	DTXSID6022557
DB00173	DTXSID60745480
DB00173	DTXSID80198232
DB00173	DTXSID80892804
DB00174	DTXSID00583863
DB00174	DTXSID10883220
DB00174	DTXSID30859927
DB00174	DTXSID30872479
DB00175	DTXSID6023498
DB00175	DTXSID6047525
DB00176	DTXSID2044002
DB00176	DTXSID3042558
DB00176	DTXSID60237496
DB00176	DTXSID70892696
DB00177	DTXSID10180185
DB00177	DTXSID30648813
DB00177	DTXSID40171925
DB00177	DTXSID50239500
DB00177	DTXSID6023735
DB00178	DTXSID40670100
DB00178	DTXSID60676129
DB00178	DTXSID8023551
DB00179	DTXSID5022437
DB00179	DTXSID5045178
DB00180	DTXSID1045534
DB00181	DTXSID00213113
DB00181	DTXSID40213112
DB00181	DTXSID5022641
DB00181	DTXSID90219366
DB00182	DTXSID20166016
DB00182	DTXSID4022600
DB00182	DTXSID8022907
DB00183	DTXSID3048992
DB00184	DTXSID0046351
DB00184	DTXSID1020930
DB00184	DTXSID10230437
DB00184	DTXSID20662144
DB00184	DTXSID3048154
DB00184	DTXSID60662143
DB00184	DTXSID80442666
DB00184	DTXSID80676247
DB00184	DTXSID80746757
DB00185	DTXSID10891421
DB00185	DTXSID2023777
DB00185	DTXSID40274384
DB00185	DTXSID9022788
DB00186	DTXSID60476489
DB00186	DTXSID7023225
DB00186	DTXSID70476490
DB00186	DTXSID90469420
DB00187	DTXSID00735380
DB00187	DTXSID30747714
DB00187	DTXSID4022995
DB00187	DTXSID7049003
DB00188	DTXSID10732163
DB00188	DTXSID3040980
DB00188	DTXSID30647765
DB00189	DTXSID2023010
DB00190	DTXSID10225560
DB00190	DTXSID4022735
DB00190	DTXSID90215449
DB00191	DTXSID20152550
DB00191	DTXSID20222388
DB00191	DTXSID20242081
DB00191	DTXSID80678726
DB00191	DTXSID9023461
DB00192	DTXSID2057819
DB00192	DTXSID60223950
DB00193	DTXSID00860388
DB00193	DTXSID80648969
DB00193	DTXSID90858931
DB00194	DTXSID1022558
DB00194	DTXSID30216758
DB00194	DTXSID80873976
DB00195	DTXSID20151321
DB00195	DTXSID2022674
DB00195	DTXSID30239341
DB00195	DTXSID50873206
DB00195	DTXSID90873205
DB00196	DTXSID3020627
DB00196	DTXSID80892703
DB00196	DTXSID90649144
DB00197	DTXSID8023719
DB00198	DTXSID0044230
DB00198	DTXSID00858260
DB00198	DTXSID1045954
DB00198	DTXSID9044291
DB00199	DTXSID4022991
DB00200	DTXSID20893597
DB00200	DTXSID40177068
DB00200	DTXSID4051243
DB00200	DTXSID50164262
DB00200	DTXSID6026296
DB00200	DTXSID8074281
DB00200	DTXSID80894747
DB00201	DTXSID0020232
DB00201	DTXSID00514758
DB00201	DTXSID00639874
DB00201	DTXSID20437172
DB00201	DTXSID30227945
DB00201	DTXSID60514759
DB00201	DTXSID70514760
DB00202	DTXSID1023603
DB00202	DTXSID30877661
DB00202	DTXSID7048455
DB00202	DTXSID90877662
DB00203	DTXSID00649150
DB00203	DTXSID4046076
DB00203	DTXSID6023579
DB00203	DTXSID60649151
DB00204	DTXSID5046433
DB00205	DTXSID30230979
DB00205	DTXSID40284463
DB00205	DTXSID40832266
DB00205	DTXSID60235098
DB00205	DTXSID70190780
DB00205	DTXSID70190801
DB00205	DTXSID70201880
DB00205	DTXSID70203642
DB00205	DTXSID70289906
DB00205	DTXSID80172592
DB00205	DTXSID80242188
DB00205	DTXSID9021217
DB00206	DTXSID50858952
DB00206	DTXSID7021237
DB00206	DTXSID80858364
DB00207	DTXSID8030760
DB00208	DTXSID5023669
DB00208	DTXSID60858483
DB00208	DTXSID80202141
DB00209	DTXSID6048337
DB00209	DTXSID7023724
DB00210	DTXSID30152465
DB00210	DTXSID5046481
DB00211	DTXSID0023321
DB00211	DTXSID1047493
DB00212	DTXSID60155121
DB00213	DTXSID4023416
DB00213	DTXSID40678727
DB00214	DTXSID2023690
DB00214	DTXSID60892685
DB00215	DTXSID00661872
DB00215	DTXSID1046003
DB00215	DTXSID40872344
DB00215	DTXSID8022826
DB00215	DTXSID8048440
