drugbank_id	ibm_id
DB00006	2CB27038965CEA1120B075AFFF9A587A
DB00007	17F30ACB0D4A2024987310605C690654
DB00007	6D14CB04DF674F3F2E23C8B370260B8B
DB00007	AAE8055ECDD862456DCD9A8E559B6811
DB00007	FC3F986D23BBA1E751B1CBF8BB67F947
DB00014	2BE09B1915FCD92C26593FB30BAD987D
DB00014	5FED1E672B9B66D515BF0D1BA5765D22
DB00014	D1B2BEA54E4A541DF090E6FC6E341B7D
DB00014	EE72D2AF4CF5A0C04C21CA07F8A0AF56
DB00035	5D6D56B6DEE9635B0C834EB519B47BD4
DB00035	882B9B9F650F37A711EE9E05AD686EE0
DB00035	9AEE08F1265AAF2ADCE443552BE84654
DB00035	A5F4B2C171CDA5C4F0062E6C5EFB9509
DB00035	C63D9DD78FB53841800638962B407E56
DB00050	21EB309B3D7A0ED421A679CAE0FFAACF
DB00080	09C9CCA7B81ABA26AD2BB942E4E51E58
DB00080	1BB05407FC222CF3CCC0D0C408ECAB3D
DB00080	432BF9F25EEDB521AA08CE9A3B2E9B2B
DB00080	B417CF3A5A8354AC1CF3194DE7501AA8
DB00080	B52DB51648F99EA49E45125ADA0C7D42
DB00080	DF6A16EFA430DFA7503F346776939F6E
DB00091	081C15A1E2AF5BF468471089BF16B822
DB00091	2071D0A1A092273D96B1E4C5B401223B
DB00091	3AB88812F412BA569F267261C9B18A5B
DB00091	4261125BB226FD292FB32957823D7F46
DB00091	53BFC114DB8A3DBF42E94EE0BFC600CB
DB00091	5C52F813E70AD50D53A2EC206FD06BCD
DB00091	62AF65E63C3769529EB0B38BC5DAF391
DB00091	6B9F325E02CE726B0A87A48B2DC9A17B
DB00091	6ED1E23E4A084F0E86A7B49826ADCD12
DB00091	6F133A536A1700F4E766768866CB7FDE
DB00091	75909859D82458CAB38B20E51B20E7DC
DB00091	839D67BA1EFF6D27C1F00AF01625DD92
DB00091	8A69F886BFDED18DC61193940C52E868
DB00091	A8396EE91F5FF443B2C558C3270FD11E
DB00091	D62306BBE0D50C41F4D7AAE0E87695E7
DB00091	D69BB9A14ABC2F0E0DC4F6F50D147222
DB00091	FA50E8FE0D1CB97BCFDE9D2FA54F8807
DB00093	4E409BF8D8FBD5B30E957D777C005D9A
DB00093	AA797C63B7279E5FF420B46127D953F2
DB00104	8600CD51FF1AFB9F2925A1D03E63BBF3
DB00104	979924B3BD60480077BCCCCCCDE3D8C8
DB00104	EEE863E62EE8024943A05E2CCB6E34BB
DB00106	984BF04A754C502C3543FEEFA0786877
DB00106	CB1FE5E4608FAA8DEEECE3ECD4984BC0
DB00114	CA4B798D943B87862FAC25B934DF78CC
DB00116	228C9DEE55D313EF9C226B80E38F9727
DB00116	2A9EBADAC4E8CF670482EF6608190CD1
DB00116	54D5E1AFE856BD97C38B06E8B35F9A1B
DB00116	5F9BF574EF4BB651B9E34592C7457F83
DB00116	9C9E88B799C898376F601A57EE14A3A2
DB00116	B0954A292883E38F262CAC59F3D6C677
DB00116	E72BB0C8AA1E572D243697132F4871BE
DB00117	08DB87D202EF6D1532A5DE2920E26923
DB00117	40552BDF7BEA3936A7F9409A98847F03
DB00117	420307F6F16A6FF044428124FB1C2968
DB00117	480CF5D5E7767DBD6C0423632770F991
DB00117	53E47979629AC151D3D34F39161552A5
DB00117	9D4302854F5885C0F9D15E147F11CEA1
DB00119	06E36AD294A7732ECD36F01BC0A91A74
DB00119	0BFAE90028F1D382ECDE078630FDD88D
DB00119	13D53701791BCF5A6EEDE501303534CF
DB00119	1724F70A971C2D79BC58C69D20321CC9
DB00119	20E448020B9E1E8CF4DB9F2F978578CE
DB00119	39CFCB40EA632AF6A88239A7277C1C37
DB00119	48384FE8035509F2DA55EDEEE70E29FB
DB00119	4FBF6127F5978FB471B58E35EBDBF211
DB00119	C841DBC5892875DFD81040C5A4FBCFB3
DB00120	11CD647448D88F2131D0555A2B6E9510
DB00120	21FD5A6875960137CEC7248AA7678EDB
DB00120	27366FF5B6BB777E8BAE27D94AE5D757
DB00120	5A676E21A9D434195481D9F61EBF0869
DB00120	636F6AB138E608AB0195AC0C293D428D
DB00120	982D53D32C979B116B9049C89E209719
DB00120	AA99CB47D34BF2C09CAE2E12744095C3
DB00120	BDC8E12B35199A801BC5367843D210B4
DB00120	F3005F8CA775D07F177E64A614EBEED4
DB00120	F88187511A0D878EB892E217478379A2
DB00121	02A24931114AEFC124EF21124B750B3F
DB00121	048E78C2CB2EF5DEA7AC3CB9CDD4DB37
DB00121	1220DDA1E7FAAB3BEB2FEB74F2CE835A
DB00121	17614BCDC32E0B8234D7DC724DEBD2F8
DB00121	18D5376F338DE6537FB755704FF3C7A8
DB00121	297ED4A0864A5CC4E7BB27148D91886A
DB00121	2D861A524D6B93686C207BCA6A37DE0E
DB00121	4F30BACA767F2D426AAC5EE16BB8BA67
DB00121	50266CA7A0760B971DD0881869B63CF5
