drugbank_id	fdasrs_id
DB00200	059QF0KO0R
DB00200	285VXT00HH
DB00200	63M8RYN44N
DB00200	7QV8F8BYNJ
DB00200	9159UV381P
DB00200	IR00KT3W8T
DB00200	J65BV539M3
DB00200	Q40X8H422O
DB00201	3G6A5W338E
DB00202	1MBL83KX8J
DB00202	8L0S1G435E
DB00202	I9L0DDD30I
DB00202	J2R869A8YF
DB00202	PG6H2852BK
DB00203	3M7OB98Y7H
DB00203	8B699ZY1CH
DB00203	BW9B0ZE037
DB00204	R4Z9X1N2ND
DB00205	971V2RD6H5
DB00205	A144HG11TB
DB00205	A4T1033XZA
DB00205	QCT0IT9RPV
DB00205	Z3614QOX8W
DB00206	8B1QWR724A
DB00207	J2KLZ20U1M
DB00208	A1L4914FMF
DB00208	OM90ZUW7M1
DB00209	1E6682427E
DB00209	T4Y8ORK057
DB00210	1L4806J2QF
DB00212	1Y25T426Y9
DB00212	LC7FBL96A4
DB00213	SX78SGO2TV
DB00214	W31X2H97FB
DB00215	1TH2C9NJHL
DB00215	4O4S742ANY
DB00215	5U85DBW7LO
DB00215	LQ4I38573N
DB00216	22QOO9B8KI
DB00216	4139X692FA
DB00216	607KP935Y1
DB00216	92AD31CQ59
DB00216	AMM8PSU28B
DB00216	M41W832TA3
DB00216	OL4Q27AUZF
DB00217	J4THI5N7O2
DB00217	W8S3YM7AUU
DB00218	B8956S8609
DB00218	C53598599T
DB00218	JU4MC5ZQ7G
DB00218	U188XYD42P
DB00220	98D603VP8V
DB00220	HO3OGH5D7I
DB00221	37SR0CHR8L
DB00222	24T6XIR2MZ
DB00222	6KY687524K
DB00223	LR3CD8SX89
DB00223	T2DHJ9645W
DB00224	34OB95C8AE
DB00224	5W6YA9PKKH
DB00224	771H53976Q
DB00224	9MG78X43ZT
DB00224	AUG7A0JP5E
DB00225	0E6DA2DHBE
DB00225	0RPE15QPL0
DB00225	1C1ZU7JLFX
DB00225	1M6415C70M
DB00225	84F6U3J2R6
DB00225	9229HWF92P
DB00225	9G03615Q60
DB00225	AZV954TZ9N
DB00227	9LHU78OQFD
DB00227	S9XFL13C1F
DB00228	VNU2UF1MBL
DB00229	91W6Z2N718
DB00229	H7V12WDZ93
DB00230	55JG375S6M
DB00231	3TEB7I2MGE
DB00231	6RN9OF39Y6
DB00233	5B2658E0N2
DB00234	L8S50ZY490
DB00234	XQO13W6OCH
DB00235	JU9YAX04C7
DB00236	6Q99RDT97R
DB00238	99DK7FVK1H
DB00238	B7XF2TD73C
DB00239	C668Q9I33J
DB00239	RQ8UL4C17S
DB00240	136H45TB7B
DB00241	BBH31P2ABJ
DB00241	KHS0AZ4JVK
DB00242	47M74X9YT5
DB00244	4Q81I59GXC
DB00245	1NHL2J4X8K
DB00245	WMJ8TL7510
DB00246	216X081ORU
DB00246	3X6SAX83JZ
DB00246	6UKA5VEJ6X
DB00246	AO4E1LXT7Z
DB00246	JAL53626GG
DB00246	VCY3F61S5R
DB00247	2U7H1466GH
DB00247	EMS84N8S7Y
DB00247	XZA9HY6Z98
DB00248	477M7SA9N9
DB00248	LL60K9J05T
DB00249	7E78KL7PVW
DB00249	9NZ50ZON1B
DB00249	LGP81V5245
DB00249	QW9GZ63WAP
DB00250	8W5C518302
DB00252	4182431BJH
DB00252	6158TKW0C5
DB00252	9C9H20H712
DB00252	JHS3106F7O
DB00253	D2UFC189XF
DB00254	19XTS3T51U
DB00254	2IQ26U2DZQ
DB00254	334895S862
DB00254	4182Z6T2ET
DB00254	5OMB5NO49J
DB00254	6OTC606JGA
DB00254	8ZL07I20SB
DB00254	N12000U13O
DB00254	NPV78C39GQ
DB00254	QG2V1M96HM
DB00254	TCM2489R27
DB00254	TR57F2W7Q6
DB00254	XE29OXU0VW
DB00254	YK3J80P304
DB00255	731DCA35BT
DB00256	7D6EM3S13P
DB00257	G07GZ97H65
DB00258	29JB6BU01H
DB00258	2A9OM7IPNW
DB00258	2M83C4R6ZB
DB00258	3XE66AE04I
DB00258	569DQM74SC
DB00258	96R7020BND
DB00258	Q40Q9N063P
DB00258	T7F702FETA
DB00258	Y882YXF34X
DB00259	21240MF57M
DB00260	24EZ3L1E6S
DB00260	95IK5KI84Z
DB00260	9EU8RZ6U9O
DB00260	AK7DRB7FMO
DB00262	U68WG3173Y
DB00263	30S4B46J8B
DB00263	740T4C525W
DB00265	2EEH27851Y
DB00265	RG5JA2O40Z
DB00266	7QID3E7BG7
DB00267	KBZ4844CXN
DB00267	NON736D32W
DB00267	RB30TNF2RT
DB00268	030PYR8953
DB00268	D7ZD41RZI9
DB00269	6V5034L121
DB00271	35274T81AX
DB00271	3X9MR4N98U
DB00271	408463F217
