chebi	drugbank
135862	DB09340
135863	DB11618
135888	DB00337
135931	DB05351
135944	DB11368
135948	DB11640
135950	DB13517
135970	DB13383
135978	DB11594
135994	DB13718
136002	DB09443
136023	DB13267
136029	DB13204
136051	DB13125
31296	DB09223
31302	DB01558
31531	DB13333
31650	DB14677
31663	DB06786
31715	DB09487
31827	DB00463
31940	DB13185
32071	DB11892
32163	DB13485
5128	DB00690
6761	DB00371
31194	DB13780
31221	DB13853
3125	DB09020
31424	DB13256
3668	DB14006
5127	DB00846
6538	DB00455
83101	DB01747
47564	DB14512
37510	DB11157
27808	DB01452
32374	DB04066
45969	DB04562
35045	DB11117
30935	DB02522
36373	DB00309
42088	DB04678
6402	DB01097
41917	DB01756
17270	DB01779
57726	DB02853
60562	DB03317
59170	DB00272
17336	DB00162
37574	DB03416
59514	DB01594
27565	DB00233
6541	DB00678
46837	DB04267
7465	DB00704
17859	DB03553
32130	DB11080
46557	DB00399
18300	DB04299
3918	DB05974
16827	DB04652
28775	DB04703
17015	DB00140
5683	DB00739
32111	DB12418
9169	DB12604
29133	DB14682
5098	DB00301
17134	DB13251
17196	DB00174
15603	DB00149
28689	DB01708
32404	DB03848
50659	DB04855
48645	DB02561
16330	DB02901
17741	DB01844
27827	DB13495
42819	DB03237
29377	DB09460
16356	DB02315
28479	DB03839
16750	DB02857
45457	DB03474
48574	DB00812
27931	DB03277
16933	DB04038
84069	DB01919
84883	DB08887
85010	DB06210
102167	DB13083
113451	DB14482
131716	DB06160
131729	DB13461
141530	DB11956
144319	DB14191
17816	DB03158
28933	DB05450
7983	DB00312
6650	DB12751
52289	DB08059
15695	DB04308
17455	DB02710
41804	DB07621
43088	DB03144
28230	DB01094
30027	DB03350
26710	DB09153
1391	DB01454
4885	DB00609
16836	DB04417
46785	DB14000
6888	DB00959
17905	DB09110
15729	DB00129
102265	DB01582
15551	DB00917
4513	DB00266
28666	DB11858
53486	DB00154
52015	DB09319
47819	DB03144
34496	DB07302
31898	DB13145
17939	DB08437
15760	DB08841
28362	DB07918
40118	DB07127
16433	DB01880
4630	DB11259
50156	DB09015
50782	DB01134
41323	DB04233
2675	DB00543
15768	DB03374
27594	DB09278
6942	DB00350
18225	DB02942
53763	DB01439
51368	DB04948
33375	DB12091
31597	DB07477
21371	DB04029
18358	DB00553
18353	DB12087
18263	DB01661
61448	DB01862
135538	DB13524
15782	DB06827
6605	DB04829
28125	DB03756
15397	DB11345
15382	DB08921
53292	DB07701
17750	DB06756
59692	DB00942
31448	DB00606
52172	DB04868
61033	DB00569
16092	DB04329
28487	DB00206
4638	DB01231
27732	DB00201
7492	DB00716
32285	DB09510
9908	DB15588
8871	DB00734
9123	DB01104
8247	DB00670
37580	DB14623
59059	DB12765
18335	DB02142
15842	DB02957
31981	DB01608
28201	DB11457
6636	DB09407
57843	DB02345
28716	DB04257
34584	DB01541
17440	DB04214
45783	DB00619
30813	DB03600
16880	DB03947
28885	DB02145
16867	DB02893
17592	DB03473
51805	DB14075
48273	DB00953
35696	DB14206
8404	DB00750
5834	DB01892
3044	DB00865
6123	DB12465
9445	DB01162
4887	DB00593
32139	DB01390
49956	DB13453
8772	DB00481
17200	DB03041
16905	DB13863
518413	DB01616
59560	DB00360
9321	DB09324
4325	DB00250
132842	DB00891
16742	DB02262
17661	DB02547
46938	DB03068
3093	DB15056
40521	DB01985
59788	DB01146
27810	DB11085
17997	DB09152
553827	DB01408
4822	DB01253
53776	DB00240
17697	DB04275
16031	DB08652
15672	DB01694
53351	DB09129
45496	DB08547
51052	DB04967
35247	DB03929
585948	DB01023
10056	DB15357
46814	DB08844
60257	DB11815
18071	DB03517
46372	DB08690
48339	DB01026
32184	DB00799
27436	DB06710
30794	DB02175
40538	DB02464
27899	DB00515
29608	DB04202
66331	DB15359
74848	DB02045
75037	DB09082
75247	DB13642
75261	DB02877
75283	DB09031
145590	DB01936
145412	DB13918
145429	DB06365
145435	DB11667
131156	DB12242
91662	DB09403
92833	DB12478
95178	DB13844
94339	DB08958
94380	DB13309
94433	DB12834
17122	DB12536
141213	DB12938
16236	DB00898
5441	DB01016
30347	DB14189
49166	DB13848
58128	DB12444
43060	DB07892
32588	DB00761
44939	DB08410
4024	DB00979
17594	DB09526
2637	DB00479
32315	DB01198
38927	DB05524
9464	DB13944
17552	DB04315
147675	DB00249
45126	DB03304
28946	DB01412
35669	DB02924
28499	DB01852
28078	DB13154
101085	DB01144
4027	DB00531
27666	DB00970
28838	DB00137
16857	DB00156
37867	DB11290
439329	DB01191
16919	DB00148
18050	DB00130
39397	DB13752
29033	DB14510
15380	DB03699
4551	DB00390
33681	DB09155
17364	DB02655
2788	DB00964
4814	DB00876
8346	DB06715
17549	DB00855
30754	DB04166
2955	DB00207
8888	DB00268
37333	DB00225
6343	DB00598
32902	DB07815
47727	DB08719
50662	DB00786
17712	DB02134
62881	DB11933
18406	DB01700
4868	DB01196
5062	DB01216
35854	DB00577
16908	DB00157
7936	DB00715
28827	DB06727
18305	DB11217
17650	DB00741
59213	DB00430
51817	DB12343
15440	DB11460
195280	DB06697
17924	DB01638
58251	DB02083
3172	DB01158
42024	DB04676
39901	DB03018
4888	DB00754
28864	DB00684
24757	DB14135
16530	DB04074
38666	DB05289
404903	DB00303
16664	DB00518
42976	DB04526
28876	DB01042
31523	DB14655
30805	DB03017
16422	DB01536
15468	DB03170
42539	DB02767
102524	DB00241
30050	DB14154
18145	DB00163
40893	DB07391
43575	DB03801
8214	DB00960
50161	DB05428
3750	DB00636
16474	DB02338
18185	DB15394
15918	DB03798
691037	DB00547
17568	DB03419
28659	DB14151
490877	DB00900
31183	DB13167
71200	DB08895
68643	DB14674
21563	DB11102
67272	DB06641
68534	DB08899
82699	DB04911
82702	DB09030
82720	DB09038
31781	DB01601
82708	DB07859
82714	DB08349
90879	DB09343
90943	DB09330
90960	DB01409
107660	DB01931
92070	DB12518
93363	DB06711
